adm_cd,adm_nm,year,tot_ppltn,ppltn_dnsty,avg_age,tot_family,tot_house,employee_cnt,corp_cnt,ewkt
21020520,동대신2동,2024,6334,14548.4,54.1,3064,2527,1439,522,"SRID=4326;MULTIPOLYGON(((129.0255454 35.1168039, 129.0259249 35.1167377, 129.0274470 35.1155410, 129.0274721 35.1154866, 129.0275048 35.1154156, 129.0276145 35.1151762, 129.0278249 35.1147162, 129.0279349 35.1144754, 129.0280900 35.1130843, 129.0280645 35.1123970, 129.0280644 35.1123961, 129.0275787 35.1102114, 129.0270611 35.1102745, 129.0260025 35.1108316, 129.0246387 35.1124273, 129.0178780 35.1100408, 129.0165526 35.1124795, 129.0167113 35.1125355, 129.0171448 35.1126929, 129.0204717 35.1139098, 129.0205544 35.1139402, 129.0206715 35.1139837, 129.0210294 35.1141181, 129.0210427 35.1141461, 129.0210138 35.1141950, 129.0209884 35.1142440, 129.0207872 35.1146319, 129.0207404 35.1147222, 129.0219899 35.1162091, 129.0220503 35.1162755, 129.0225594 35.1167845, 129.0225856 35.1167837, 129.0233195 35.1167041, 129.0237335 35.1165638, 129.0240358 35.1164925, 129.0241739 35.1164903, 129.0242933 35.1164892, 129.0252606 35.1165134, 129.0253539 35.1165757, 129.0253892 35.1166008, 129.0255454 35.1168039)))"
21020530,동대신3동,2024,7019,4778.5,48.1,3586,2848,4727,674,"SRID=4326;MULTIPOLYGON(((129.0254059 35.1205950, 129.0243032 35.1187925, 129.0244177 35.1184776, 129.0245718 35.1180574, 129.0246423 35.1178697, 129.0249536 35.1175880, 129.0254849 35.1171115, 129.0259249 35.1167377, 129.0255454 35.1168039, 129.0253892 35.1166008, 129.0253539 35.1165757, 129.0252606 35.1165134, 129.0242933 35.1164892, 129.0241739 35.1164903, 129.0240358 35.1164925, 129.0237335 35.1165638, 129.0233195 35.1167041, 129.0225856 35.1167837, 129.0225594 35.1167845, 129.0220503 35.1162755, 129.0219899 35.1162091, 129.0207404 35.1147222, 129.0207872 35.1146319, 129.0209884 35.1142440, 129.0210138 35.1141950, 129.0210427 35.1141461, 129.0210294 35.1141181, 129.0206715 35.1139837, 129.0205544 35.1139402, 129.0204717 35.1139098, 129.0171448 35.1126929, 129.0167113 35.1125355, 129.0165526 35.1124795, 129.0151926 35.1149987, 129.0171964 35.1157680, 129.0173519 35.1158300, 129.0174217 35.1158665, 129.0163545 35.1175089, 129.0162190 35.1176376, 129.0179732 35.1218367, 129.0180217 35.1219606, 129.0181664 35.1223333, 129.0183267 35.1227519, 129.0186047 35.1236768, 129.0186065 35.1236828, 129.0186964 35.1239819, 129.0187107 35.1240296, 129.0189457 35.1248216, 129.0188292 35.1250430, 129.0187074 35.1252744, 129.0190444 35.1264097, 129.0210325 35.1324667, 129.0212250 35.1330507, 129.0222173 35.1351547, 129.0223177 35.1353670, 129.0224100 35.1355607, 129.0225572 35.1358687, 129.0229911 35.1366000, 129.0256299 35.1356614, 129.0260427 35.1313654, 129.0260098 35.1249185, 129.0257971 35.1233092, 129.0250880 35.1217393, 129.0254059 35.1205950)))"
21020540,서대신1동,2024,14540,23046.9,44.6,6451,5512,3191,951,"SRID=4326;MULTIPOLYGON(((129.0122296 35.1109517, 129.0165526 35.1124795, 129.0178780 35.1100408, 129.0201791 35.1076243, 129.0197808 35.1076292, 129.0171441 35.1077507, 129.0155009 35.1068106, 129.0152650 35.1065454, 129.0150552 35.1062972, 129.0142561 35.1053473, 129.0141214 35.1051851, 129.0140362 35.1048255, 129.0111857 35.1053855, 129.0104835 35.1056941, 129.0076007 35.1081855, 129.0054154 35.1097179, 129.0049817 35.1098455, 129.0046642 35.1099390, 129.0043272 35.1102400, 129.0035472 35.1112553, 129.0038888 35.1110058, 129.0043305 35.1109178, 129.0044690 35.1108902, 129.0088778 35.1108233, 129.0097169 35.1109087, 129.0097556 35.1109174, 129.0106343 35.1120593, 129.0119327 35.1115856, 129.0122296 35.1109517)))"
21020560,서대신3동,2024,7240,10281.3,47.1,2985,2682,1797,550,"SRID=4326;MULTIPOLYGON(((129.0075566 35.1167742, 129.0077440 35.1174745, 129.0080626 35.1174801, 129.0081454 35.1174801, 129.0126377 35.1166997, 129.0134184 35.1161175, 129.0135258 35.1159296, 129.0138622 35.1152395, 129.0142213 35.1146259, 129.0142234 35.1146223, 129.0147091 35.1148109, 129.0150069 35.1149266, 129.0151926 35.1149987, 129.0165526 35.1124795, 129.0122296 35.1109517, 129.0119327 35.1115856, 129.0106343 35.1120593, 129.0097556 35.1109174, 129.0097169 35.1109087, 129.0088778 35.1108233, 129.0044690 35.1108902, 129.0043305 35.1109178, 129.0038888 35.1110058, 129.0035472 35.1112553, 129.0039059 35.1131187, 129.0020169 35.1142744, 129.0024070 35.1154982, 129.0027211 35.1172535, 129.0021380 35.1180177, 129.0075566 35.1167742)))"
21020570,서대신4동,2024,6835,1780,46.9,2803,2633,1527,389,"SRID=4326;MULTIPOLYGON(((128.9985153 35.1409919, 128.9999905 35.1407036, 129.0039833 35.1395741, 129.0059784 35.1392472, 129.0076583 35.1395343, 129.0087060 35.1393924, 129.0105643 35.1388292, 129.0113276 35.1381899, 129.0121717 35.1374829, 129.0121754 35.1374785, 129.0121668 35.1374659, 129.0121961 35.1374405, 129.0125072 35.1371932, 129.0127119 35.1370304, 129.0127253 35.1370198, 129.0158880 35.1360293, 129.0180061 35.1364186, 129.0207839 35.1367256, 129.0212867 35.1367792, 129.0215193 35.1368025, 129.0215340 35.1368024, 129.0215414 35.1368023, 129.0229911 35.1366000, 129.0225572 35.1358687, 129.0224100 35.1355607, 129.0223177 35.1353670, 129.0222173 35.1351547, 129.0212250 35.1330507, 129.0210325 35.1324667, 129.0190444 35.1264097, 129.0187074 35.1252744, 129.0188292 35.1250430, 129.0189457 35.1248216, 129.0187107 35.1240296, 129.0186964 35.1239819, 129.0186065 35.1236828, 129.0186047 35.1236768, 129.0183267 35.1227519, 129.0181664 35.1223333, 129.0180217 35.1219606, 129.0179732 35.1218367, 129.0162190 35.1176376, 129.0163545 35.1175089, 129.0174217 35.1158665, 129.0173519 35.1158300, 129.0171964 35.1157680, 129.0151926 35.1149987, 129.0150069 35.1149266, 129.0147091 35.1148109, 129.0142234 35.1146223, 129.0142213 35.1146259, 129.0138622 35.1152395, 129.0135258 35.1159296, 129.0134184 35.1161175, 129.0126377 35.1166997, 129.0081454 35.1174801, 129.0080626 35.1174801, 129.0077440 35.1174745, 129.0075566 35.1167742, 129.0021380 35.1180177, 128.9990146 35.1185522, 128.9987886 35.1198012, 128.9997497 35.1232651, 129.0000102 35.1236990, 129.0012900 35.1247163, 129.0027204 35.1253283, 129.0031187 35.1277615, 129.0028623 35.1318522, 129.0026977 35.1337292, 129.0034965 35.1345849, 129.0043270 35.1364145, 128.9995256 35.1389161, 128.9960325 35.1404084, 128.9985153 35.1409919)))"
21020590,부민동,2024,8258,20284.3,41.9,3870,2838,4186,759,"SRID=4326;MULTIPOLYGON(((129.0197808 35.1076292, 129.0201791 35.1076243, 129.0223502 35.1075228, 129.0211906 35.1032429, 129.0215205 35.1019403, 129.0198265 35.1019847, 129.0191934 35.1020203, 129.0168419 35.1021253, 129.0167937 35.1020125, 129.0167912 35.1019939, 129.0167691 35.1018266, 129.0167053 35.1018140, 129.0165792 35.1018271, 129.0162549 35.1018642, 129.0138457 35.1021414, 129.0135716 35.1022327, 129.0130849 35.1023949, 129.0129631 35.1028345, 129.0132889 35.1035744, 129.0133505 35.1037091, 129.0140362 35.1048255, 129.0141214 35.1051851, 129.0142561 35.1053473, 129.0150552 35.1062972, 129.0152650 35.1065454, 129.0155009 35.1068106, 129.0171441 35.1077507, 129.0197808 35.1076292)))"
21020610,아미동,2024,6272,8696.1,53.8,3539,2873,4653,473,"SRID=4326;MULTIPOLYGON(((129.0111857 35.1053855, 129.0140362 35.1048255, 129.0133505 35.1037091, 129.0132889 35.1035744, 129.0129631 35.1028345, 129.0130849 35.1023949, 129.0135716 35.1022327, 129.0138457 35.1021414, 129.0162549 35.1018642, 129.0165792 35.1018271, 129.0167053 35.1018140, 129.0167691 35.1018266, 129.0167912 35.1019939, 129.0167937 35.1020125, 129.0168419 35.1021253, 129.0191934 35.1020203, 129.0198265 35.1019847, 129.0196107 35.0987289, 129.0184242 35.0987765, 129.0172991 35.0976161, 129.0167070 35.0967884, 129.0167156 35.0967597, 129.0164275 35.0963970, 129.0148729 35.0954826, 129.0144245 35.0952288, 129.0144038 35.0952172, 129.0134652 35.0946892, 129.0134636 35.0946883, 129.0121169 35.0962350, 129.0118403 35.0965660, 129.0114055 35.0970891, 129.0104357 35.0986305, 129.0084813 35.0993756, 129.0072402 35.0995229, 129.0073275 35.1011647, 129.0074665 35.1015293, 129.0075905 35.1018548, 129.0083299 35.1029243, 129.0085518 35.1030949, 129.0091962 35.1038247, 129.0099781 35.1048206, 129.0104835 35.1056941, 129.0111857 35.1053855)))"
21020630,초장동,2024,3596,8123.3,56.7,2031,1440,364,157,"SRID=4326;MULTIPOLYGON(((129.0202350 35.0986989, 129.0206247 35.0982295, 129.0215339 35.0961355, 129.0210690 35.0932138, 129.0210159 35.0932522, 129.0209584 35.0932350, 129.0205596 35.0931151, 129.0195729 35.0928151, 129.0193455 35.0926687, 129.0183134 35.0918129, 129.0162383 35.0900064, 129.0156043 35.0894084, 129.0149874 35.0888173, 129.0134955 35.0894872, 129.0134982 35.0894921, 129.0138741 35.0901553, 129.0141194 35.0905887, 129.0142839 35.0908820, 129.0143667 35.0910295, 129.0143254 35.0926648, 129.0143148 35.0929678, 129.0142088 35.0937436, 129.0134636 35.0946883, 129.0134652 35.0946892, 129.0144038 35.0952172, 129.0144245 35.0952288, 129.0148729 35.0954826, 129.0164275 35.0963970, 129.0167156 35.0967597, 129.0167070 35.0967884, 129.0172991 35.0976161, 129.0184242 35.0987765, 129.0196107 35.0987289, 129.0202350 35.0986989)))"
21020640,충무동,2024,9750,26405.3,49.3,5059,3576,6306,1625,"SRID=4326;MULTIPOLYGON(((129.0245901 35.0992715, 129.0251676 35.0979775, 129.0265557 35.0953970, 129.0252426 35.0935148, 129.0210690 35.0932138, 129.0215339 35.0961355, 129.0206247 35.0982295, 129.0202350 35.0986989, 129.0196107 35.0987289, 129.0198265 35.1019847, 129.0215205 35.1019403, 129.0245901 35.0992715)))"
21020650,남부민1동,2024,4508,9569.8,55.5,2267,1711,2036,883,"SRID=4326;MULTIPOLYGON(((129.0252870 35.0932570, 129.0260327 35.0868447, 129.0245825 35.0867700, 129.0234056 35.0875390, 129.0220233 35.0887411, 129.0220196 35.0887664, 129.0219904 35.0889764, 129.0221039 35.0892717, 129.0170629 35.0876227, 129.0149874 35.0888173, 129.0156043 35.0894084, 129.0162383 35.0900064, 129.0183134 35.0918129, 129.0193455 35.0926687, 129.0195729 35.0928151, 129.0205596 35.0931151, 129.0209584 35.0932350, 129.0210159 35.0932522, 129.0210690 35.0932138, 129.0252426 35.0935148, 129.0252870 35.0932570)))"
