공간정보일련번호,지형지물명,등록구,관리기관,명칭,구경,형식,최대유량,가설일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
153,유량계,연제구,동래통합사업소,41-1블록 유량계,200,전자식,0,2020-06-09,사상가압장(신설),양호,상수맨홀,연제구,블록
154,유량계,수영구,남부사업소,제 3블록 유량계,200,전자식,0,2006-10-10,명장배수지,양호,,수영구,블록
155,유량계,북구,북부사업소,20블록 유량계,150,전자식,288880.51,2006-05-19,덕천가압장(오륜),양호,상수맨홀,북구,블록
156,유량계,금정구,동래통합사업소,유량계실,100,기타,0,2000-01-01,덕천가압장(시내),양호,상수맨홀,금정구,기타
157,유량계,부산진구,부산진사업소,26블록 유량계,250,전자식,0,2017-03-02,전포1배수지,양호,,,블록
158,유량계,연제구,동래통합사업소,49블록유량계,300,초음파식,,2015-09-17,덕천가압장(시내),양호,상수맨홀,연제구,블록
159,유량계,부산진구,시설관리사업소,범천경남,800,초음파식,0,2018-04-18,사상가압장(신설),양호,상수맨홀,부산진구,권역
160,유량계,수영구,남부사업소,제11블록유량계,300,초음파식,0,2015-10-21,덕천가압장(시내),양호,,수영구,블록
161,유량계,동구,중동부사업소,5블록유량계,300,초음파식,2070,2003-11-23,개금1배수지,양호,,동구,블록
162,유량계,수영구,남부사업소,제 9블록유량계,300,전자식,0,2016-01-01,덕천가압장(시내),양호,,수영구,블록
163,유량계,연제구,동래통합사업소,34블록유량계,200,전자식,,2015-09-10,덕천가압장(시내),양호,상수맨홀,연제구,블록
164,유량계,연제구,동래통합사업소,41블록유량계,150,전자식,0,2017-06-28,덕천가압장(시내),양호,상수맨홀,연제구,블록
165,유량계,금정구,동래통합사업소,제2블록 유량계,300,전자식,296741.01,2017-06-28,남산배수지,양호,상수맨홀,금정구,블록
166,유량계,금정구,동래통합사업소,제17블록 유량계,200,전자식,,2011-03-22,덕천가압장(시내),양호,상수맨홀,금정구,블록
168,유량계,동래구,동래통합사업소,24블록유량계,300,전자식,0,2018-05-14,덕천가압장(시내),양호,상수맨홀,동래구,블록
169,유량계,금정구,동래통합사업소,제3블록 유량계,300,전자식,0,2017-06-28,범어사정수장(직송),양호,상수맨홀,금정구,블록
170,유량계,동래구,시설관리사업소,식물원앞,500,전자식,0,2008-11-26,화명정수장,양호,,,권역
171,유량계,금정구,동래통합사업소,제11블록 유량계,300,초음파식,292779.21,2015-10-05,덕천가압장(시내),양호,상수맨홀,금정구,블록
172,유량계,영도구,영도사업소,13-1블록유량계,300,초음파식,277149.78,2021-05-24,청학배수지,양호,상수맨홀,영도구,블록
173,유량계,사하구,시설관리사업소,감천,400,초음파식,0,2016-12-15,덕산정수장(생활직송),양호,,사하구,권역
174,유량계,서구,사하사업소,20-1블록 유량계설치,80,전자식,0,2022-07-07,아미부스터,양호,,서구,블록
175,유량계,영도구,영도사업소,제17블록 유량계,150,전자식,277159.35,2018-02-20,청학배수지,양호,상수맨홀,영도구,블록
176,유량계,영도구,영도사업소,10블록유량계,150,전자식,277069.94,2021-05-24,청학배수지,양호,상수맨홀,영도구,블록
179,유량계,부산진구,시설관리사업소,범3호교,800,초음파식,0,2010-03-29,개금1배수지,양호,상수맨홀,부산진구,권역
181,유량계,남구,남부사업소,제32블록 유량계,200,전자식,0,2020-05-20,덕천가압장(시내),양호,,남구,블록
182,유량계,동구,중동부사업소,7블록유량계,200,전자식,0,2019-04-18,개금1배수지,양호,,동구,블록
