공간정보일련번호,지형지물명,등록구,관리기관,명칭,구경,형식,최대유량,가설일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
387,유량계,금정구,시설관리사업소,금사1,1200,초음파식,1140,2024-04-18,명장정수장(가압),양호,상수맨홀,금정구,권역
388,유량계,사하구,사하사업소,7-2블록 유량계,150,전자식,408,2017-04-28,대티2배수지,양호,,사하구,블록
389,유량계,강서구,강서사업소,강서14블록유량계,600,초음파식,0,2007-12-01,덕산정수장(생활직송),양호,,강서구,블록
390,유량계,서구,서부사업소,미사용유량계,150,터어빈형,280556.46,2010-04-05,대티2배수지,양호,,서구,기타
391,유량계,부산진구,부산진사업소,36-1블록 유량계,200,전자식,0,2018-03-19,개금1배수지,양호,상수맨홀,부산진구,블록
392,유량계,기장군,시설관리사업소,유량계 (유출관로),700,초음파식,0,2015-08-11,좌동2배수지,양호,상수맨홀,기장군,배수지
393,유량계,해운대구,해운대사업소,반여1동 제13블록 유량계,300,전자식,288664.43,2021-04-26,덕천가압장(시내),양호,상수맨홀,해운대구,블록
394,유량계,강서구,강서사업소,,150,전자식,600,2015-02-14,덕산정수장(생활직송),양호,,강서구,기타
395,유량계,기장군,시설관리사업소,유량계 (유입관로),700,초음파식,0,2015-08-11,좌동2배수지,양호,상수맨홀,기장군,배수지
396,유량계,남구,남부사업소,제35블록 유량계,150,초음파식,0,2025-03-26,사상가압장(신설),양호,상수맨홀,남구,블록
398,유량계,금정구,동래통합사업소,제10블록 유량계,250,전자식,0,2022-04-12,덕천가압장(시내),양호,,금정구,블록
399,유량계,부산진구,부산진사업소,46블록 유량계,250,초음파식,0,2023-03-20,수정산터널배수지,양호,,부산진구,블록
400,유량계,부산진구,부산진사업소,38블록 유량계,150,전자식,0,2021-05-04,수정산터널배수지,양호,,부산진구,블록
401,유량계,연제구,동래통합사업소,소블록 유량계,200,터어빈형,,2007-08-22,거제배수지,양호,,연제구,
403,유량계,기장군,시설관리사업소,유량계 (유입관로),700,초음파식,0,2015-08-11,좌동2배수지,양호,상수맨홀,기장군,배수지
404,유량계,북구,북부사업소,1블록 유량계,300,초음파식,980,2023-04-03,금곡배수지,양호,상수맨홀,북구,블록
405,유량계,기타,시설관리사업소,김해1 유출 유량계,200,전자식,0,2017-06-30,덕산정수장(생활직송),양호,상수맨홀,기타,권역
406,유량계,기장군,기장사업소,18블록 유량계,100,전자식,297981.56,2019-05-13,봉대산배수지,양호,,기장군,블록
407,유량계,기장군,기장사업소,14-2블록 유량계,500,초음파식,302888.82,2021-04-30,정관지구저지배수지,,,기장군,블록
408,유량계,남구,남부사업소,제28-1블록 유량계,250,전자식,0,2024-05-22,덕천가압장(시내),양호,상수맨홀,남구,블록
409,유량계,기장군,기장사업소,14-4블록 유량계(300MM),300,초음파식,0,2024-03-26,정관지구저지배수지,양호,상수맨홀,기장군,블록
411,유량계,금정구,동래통합사업소,제12블록유량계,100,전자식,0,2023-04-19,덕천가압장(시내),양호,,금정구,블록
412,유량계,금정구,동래통합사업소,제 31블록 유량계,200,전자식,0,2010-08-09,덕천가압장(시내),양호,,금정구,블록
414,유량계,동래구,동래통합사업소,29블록유량계,250,전자식,,2016-05-26,덕천가압장(시내),양호,상수맨홀,동래구,블록
415,유량계,해운대구,해운대사업소,유량계실 (미사용),150,기타,287282,1999-01-01,덕천가압장(시내),양호,상수맨홀,해운대구,기타
416,유량계,부산진구,부산진사업소,30블록 유량계,300,전자식,285295.6,2016-05-10,전포1배수지,양호,,부산진구,블록
417,유량계,기장군,기장사업소,9-1블록 유량계,100,전자식,303682.66,2023-03-24,봉대산배수지,양호,상수맨홀,기장군,블록
419,유량계,기장군,기장사업소,14-4블록 유량계(100mm),100,전자식,0,2015-11-05,정관지구저지배수지,양호,상수맨홀,기장군,기타
420,유량계,해운대구,해운대사업소,좌1동 제27블록 유량계,300,전자식,286482.49,2021-04-26,덕천가압장(시내),양호,상수맨홀,해운대구,블록
422,유량계,서구,서부사업소,3블록 유량계(구3-1블록),150,전자식,0,2025-03-26,구덕배수지,양호,,서구,블록
423,유량계,기장군,기장사업소,4블록 유량계,200,전자식,294100.04,2014-05-02,봉대산배수지,양호,상수맨홀,기장군,블록
424,유량계,북구,북부사업소,18블록 유량계,200,전자식,289758.36,2006-02-01,덕천가압장(오륜),양호,상수맨홀,북구,블록
425,유량계,사하구,사하사업소,3-1블록유량계,100,전자식,596,2025-04-02,덕산정수장(생활직송),양호,상수맨홀,사하구,블록
426,유량계,동구,중동부사업소,4블록유량계,200,전자식,,2013-06-21,개금1배수지,양호,,동구,블록
427,유량계,사하구,사하사업소,29블록유량계,250,전자식,0,2023-03-23,덕산정수장(생활직송),양호,,사하구,블록
428,유량계,영도구,영도사업소,6블록 유량계,250,초음파식,277111.25,2017-04-26,영도배수지,양호,상수맨홀,영도구,블록
429,유량계,연제구,동래통합사업소,44블록유량계,300,전자식,,2016-06-02,덕천가압장(시내),양호,상수맨홀,연제구,블록
430,유량계,연제구,동래통합사업소,35블록유량계,300,전자식,,2016-06-15,사상가압장(신설),양호,상수맨홀,연제구,블록
431,유량계,해운대구,해운대사업소,재송1동19-1블록 유량계,200,전자식,288479.9,2025-03-24,덕천가압장(오륜),양호,상수맨홀,해운대구,블록
432,유량계,해운대구,해운대사업소,제19블록 유량계 (미사용,250,초음파식,287906.24,2015-12-21,덕천가압장(시내),양호,상수맨홀,해운대구,기타
433,유량계,부산진구,부산진사업소,41블록 유량계,250,초음파식,0,2025-03-19,신당감가압장,양호,,부산진구,블록
434,유량계,해운대구,시설관리사업소,반여2배수지(유출관로),400,초음파식,0,2015-06-26,반여2배수지,양호,,,배수지
435,유량계,강서구,강서사업소,,300,초음파식,2500,2015-02-14,덕산정수장(공업직송),양호,,강서구,
436,유량계,강서구,강서사업소,,150,전자식,600,2015-02-14,덕산정수장(생활직송),양호,,강서구,
437,유량계,강서구,강서사업소,,300,초음파식,2500,2015-02-14,덕산정수장(공업직송),양호,,강서구,
439,유량계,사상구,북부사업소,22-2블록 유량계,200,전자식,0,2020-05-20,사상가압장(신설),양호,상수맨홀,사상구,블록
440,유량계,북구,북부사업소,22-1블록,100,전자식,,2007-07-31,덕산정수장(생활직송),양호,,북구,블록
441,유량계,부산진구,부산진사업소,35블록 유량계,250,초음파식,0,2023-03-20,개금1배수지,양호,상수맨홀,부산진구,블록
442,유량계,연제구,동래통합사업소,46블록유량계,250,전자식,,2016-06-11,명장배수지,양호,상수맨홀,연제구,블록
444,유량계,해운대구,시설관리사업소,반여2배수지(유출관로),600,초음파식,0,2015-06-26,반여2배수지,양호,,해운대구,배수지
445,유량계,사하구,사하사업소,38-1블록 유량계,250,초음파식,0,2021-03-04,장림배수지,양호,상수맨홀,사하구,블록
446,유량계,영도구,영도사업소,9블록유량계,200,전자식,276908.24,2016-05-16,청학배수지,양호,상수맨홀,영도구,블록
447,유량계,동구,중동부사업소,5-1블록,200,전자식,282641.69,2016-04-29,영주배수지,양호,상수맨홀,동구,블록
448,유량계,동래구,시설관리사업소,미남R,1800,초음파식,0,2017-06-01,덕천가압장(오륜),양호,상수맨홀,,권역
449,유량계,사하구,시설관리사업소,하단2,900,초음파식,279411.79,2017-05-30,사상가압장(신설),양호,상수맨홀,사하구,권역
450,유량계,중구,중동부사업소,영주시장 전용 유량계,50,익차형,0,2016-07-11,복병산배수지,양호,,중구,기타
451,유량계,동래구,시설관리사업소,유량계 (유출관로),100,전자식,0,2016-06-29,동래온천수 펌프장(직송),양호,,,가압장
452,유량계,부산진구,부산진사업소,18블록 유량계,300,초음파식,0,2022-04-08,거제배수지,양호,,부산진구,블록
453,유량계,사하구,시설관리사업소,유량계 (유출관로),500,전자식,0,2011-09-26,감천배수지,양호,,사하구,배수지
455,유량계,영도구,영도사업소,8블록유량계,200,전자식,276360.77,2021-05-24,청학배수지,양호,상수맨홀,영도구,블록
456,유량계,동래구,동래통합사업소,20블록,250,초음파식,0,2025-03-18,명장배수지,양호,상수맨홀,동래구,블록
457,유량계,사하구,사하사업소,12블록 유량계,200,전자식,0,2019-03-19,대티2배수지,양호,,사하구,블록
458,유량계,기장군,기장사업소,2-1블록 유량계,150,전자식,302077.57,2013-05-09,봉대산배수지,양호,,기장군,블록
459,유량계,사하구,사하사업소,11-1블록 유량계,200,전자식,0,2019-03-14,괴정1가압장,양호,,사하구,블록
460,유량계,남구,남부사업소,제41블록 유량계,200,전자식,0,2024-05-22,덕천가압장(시내),양호,,남구,블록
461,유량계,기장군,기장사업소,16블록 유량계(현재미사용),400,전자식,307642.59,2019-06-04,기장명례배수지,,,기장군,블록(보조)
462,유량계,부산진구,부산진사업소,4-1블록 유량계,200,전자식,285432.81,2020-04-09,당감배수지,양호,,부산진구,블록
615,유량계,서구,시설관리사업소,유량계 (유입관로),400,초음파식,0,2019-05-20,사상가압장(기설),양호,상수맨홀,서구,배수지
616,유량계,북구,북부사업소,8-2블록 유량계,150,전자식,290785.94,2021-05-27,만덕1배수지,양호,상수맨홀,북구,블록
617,유량계,사하구,시설관리사업소,유량계 (유출관로),700,초음파식,277625.51,2011-06-30,사상가압장(기설),양호,,사하구,배수지
618,유량계,남구,시설관리사업소,유량계 (유입관로),400,초음파식,0,2015-12-02,덕천가압장(시내),양호,상수맨홀,남구,배수지
619,유량계,연제구,시설관리사업소,유량계 (유입관로),600,초음파식,0,2015-12-17,덕천가압장(시내),양호,상수맨홀,연제구,배수지
620,유량계,기타,화명정수사업소,회동취수800mm,800,초음파식,0,2005-05-09,,양호,상수맨홀,기타,원수
621,유량계,기타,화명정수사업소,회동취수1100mm,1100,초음파식,0,2005-05-09,,양호,상수맨홀,기타,원수
622,유량계,해운대구,시설관리사업소,반여2배수지1BP(유출관로),300,초음파식,0,2015-06-26,반여2배수지1부스터,양호,,해운대구,펌프장
623,유량계,해운대구,해운대사업소,우1동 제26블록 유량계,200,전자식,,2006-12-01,덕천가압장(시내),양호,상수맨홀,해운대구,블록
624,유량계,서구,서부사업소,1블록소유량계(사상구일부확인),40,익차형,0,2004-04-23,꽃마을1가압장,양호,,서구,기타
625,유량계,기장군,기장사업소,3블록 유량계,150,전자식,296210.94,2016-10-17,봉대산배수지,양호,상수맨홀,기장군,블록
626,유량계,중구,중동부사업소,24블록유량계,250,초음파식,679,2003-11-18,사상가압장(신설),양호,상수맨홀,중구,블록
627,유량계,강서구,강서사업소,강서9-4블록 유량계,300,초음파식,0,2016-06-28,덕산정수장(생활직송),양호,,강서구,블록(보조)
628,유량계,해운대구,해운대사업소,29블록 유량계 (신),300,전자식,0,2016-06-27,덕천가압장(시내),양호,상수맨홀,해운대구,블록(보조)
629,유량계,수영구,남부사업소,제 6블록 유량계,250,전자식,0,2016-01-01,덕천가압장(시내),양호,상수맨홀,수영구,블록
630,유량계,강서구,강서사업소,생곡 공업용수배수지,400,초음파식,0,2014-12-28,생곡공업용수배수지,양호,상수맨홀,강서구,배수지
631,유량계,강서구,강서사업소,생곡공업용수배수지,350,초음파식,0,2014-12-18,덕산정수장(공업직송),양호,상수맨홀,강서구,배수지
632,유량계,강서구,강서사업소,생곡생활용수배수지,400,초음파식,0,2014-12-18,생곡생활용수배수지,양호,상수맨홀,강서구,배수지
633,유량계,강서구,강서사업소,생곡생활용수 배수지,400,초음파식,0,2014-12-18,덕산정수장(생활직송),양호,상수맨홀,강서구,배수지
634,유량계,연제구,시설관리사업소,유량계 (유입관로),700,초음파식,0,2019-05-20,신사직가압장,양호,,연제구,배수지
636,유량계,동구,시설관리사업소,철도국펌프장,100,터어빈형,0,2005-03-25,사상가압장(신설),양호,상수맨홀,동구,권역
637,유량계,서구,시설관리사업소,유량계 (유출관로),300,전자식,0,2011-09-26,아미배수지,양호,,,배수지
638,유량계,서구,시설관리사업소,구덕운동장,700,전자식,280035.76,2019-10-15,사상가압장(신설),양호,,서구,권역
640,유량계,연제구,동래통합사업소,42블록 유량계,200,전자식,0,2020-06-08,덕천가압장(시내),양호,,연제구,블록
667,유량계,연제구,동래통합사업소,48블록유량계,300,전자식,0,2019-12-13,명장정수장(직송),양호,상수맨홀,연제구,블록
668,유량계,남구,남부사업소,제21블록 유량계,300,초음파식,0,2025-03-26,사상가압장(신설),양호,상수맨홀,남구,블록
669,유량계,기타,덕산정수사업소,2정수 유출유량계(공업용수),2200,초음파식,298679.04,2013-01-01,덕산정수장(공업직송),양호,,기타,정수장
670,유량계,강서구,강서사업소,강서7블럭 유량계,200,전자식,0,2018-04-27,지사생활배수지,양호,상수맨홀,강서구,블록
671,유량계,사상구,북부사업소,49블록 유량계,300,초음파식,287728.76,2012-12-24,덕산정수장(생활직송),양호,,사상구,블록
672,유량계,기장군,기장사업소,17블록 유량계,150,전자식,0,2025-03-07,범어사정수장(직송),양호,,기장군,블록
673,유량계,해운대구,해운대사업소,우2동 제21블록 유량계,250,전자식,286093.74,2015-09-15,덕천가압장(시내),양호,상수맨홀,해운대구,블록
674,유량계,북구,북부사업소,21블록 유량계,250,초음파식,288733.2,2025-05-08,구포2배수지,양호,상수맨홀,북구,블록
677,유량계,연제구,남부사업소,망미동암,300,터어빈형,,2014-01-09,덕천가압장(시내),양호,상수맨홀,연제구,권역
678,유량계,기장군,시설관리사업소,유량계 (유입관로),300,전자식,0,2016-10-28,장안배수지,양호,상수맨홀,기장군,배수지
679,유량계,부산진구,부산진사업소,3블록 유량계,250,전자식,284704.81,2020-04-09,사상가압장(신설),양호,,부산진구,블록
680,유량계,해운대구,시설관리사업소,유량계1 (유출관로),400,전자식,0,2011-09-26,반송배수지,양호,,해운대구,배수지
681,유량계,금정구,시설관리사업소,유량계 (유출관로),500,전자식,0,2011-09-26,남산배수지,양호,,금정구,배수지
682,유량계,강서구,강서사업소,화전배수지 유입,400,초음파식,0,2019-10-01,녹산생활배수지,양호,상수맨홀,강서구,배수지
683,유량계,북구,화명정수사업소,화명유입1350mm,1350,초음파식,0,2017-04-03,물금취수장(가압),양호,,북구,정수장
684,유량계,북구,화명정수사업소,화명 유입유량계,2000,초음파식,0,2018-04-01,물금취수장(가압),,,북구,원수
685,유량계,남구,남부사업소,제46블록 유량계,300,초음파식,279327.29,2019-04-03,덕천가압장(시내),양호,,남구,블록
686,유량계,사하구,사하사업소,25블록 유량계,350,초음파식,0,2025-04-02,사상가압장(기설),양호,,사하구,블록
687,유량계,부산진구,부산진사업소,17블록 유량계,300,초음파식,285801.1,2024-04-10,전포1배수지,양호,,부산진구,블록
688,유량계,서구,시설관리사업소,까치고개,150,터어빈형,,1999-12-01,괴정2가압장,양호,,서구,권역
689,유량계,강서구,강서사업소,강서15블록유량계,300,초음파식,0,2024-04-29,부산신항배수지,양호,상수맨홀,강서구,블록
691,유량계,금정구,시설관리사업소,금사2,600,초음파식,0,2017-05-31,,양호,,,권역
692,유량계,사상구,시설관리사업소,개금1,1100,초음파식,0,2019-05-01,,양호,,,권역
642,유량계,연제구,동래통합사업소,57블록 유량계,200,전자식,0,2023-05-04,연산배수지,양호,상수맨홀,연제구,블록
643,유량계,사하구,사하사업소,38블록유량계,150,전자식,0,2020-02-20,장림배수지,양호,상수맨홀,사하구,블록
644,유량계,강서구,강서사업소,강서11블록  유량계,250,초음파식,0,2020-02-19,화전산단배수지,양호,,강서구,블록
645,유량계,동구,중동부사업소,6블록 유량계,150,전자식,,2009-05-14,범일배수지,양호,,동구,블록
647,유량계,동구,중동부사업소,11블록유량계,200,전자식,0,2023-06-09,수정산터널배수지,양호,,동구,블록
648,유량계,서구,서부사업소,18블록 유량계,100,전자식,0,2023-03-20,남부민배수지,양호,,서구,블록
649,유량계,강서구,강서사업소,강서16-1블록 유량계,400,초음파식,0,2016-01-01,덕산정수장(생활직송),양호,,강서구,블록
650,유량계,해운대구,시설관리사업소,유량계 (유출관로),500,초음파식,0,2015-12-11,재송가압장,양호,,해운대구,가압장
651,유량계,기타,덕산정수사업소,1정수 유출유량계,2200,초음파식,0,2013-01-01,덕산정수장(생활직송),양호,,기타,정수장
652,유량계,사상구,북부사업소,45-1블록 유량계,200,전자식,0,2019-05-02,덕산정수장(생활직송),양호,,사상구,블록
653,유량계,북구,북부사업소,11블록 유량계,300,초음파식,290308.03,2017-06-14,덕산정수장(생활직송),양호,상수맨홀,북구,블록
654,유량계,기장군,시설관리사업소,장안산단 내,300,전자식,0,2010-02-02,장안배수지,양호,상수맨홀,기장군,배수지
655,유량계,기장군,시설관리사업소,장안산단 내 2,250,전자식,0,2010-02-02,장안배수지,양호,상수맨홀,기장군,배수지
656,유량계,기장군,기장사업소,16-1블록 유량계,250,전자식,0,2020-04-23,장안배수지,양호,상수맨홀,기장군,블록
657,유량계,해운대구,시설관리사업소,유량계 (유출관로),400,초음파식,0,2011-03-30,재송가압장,양호,,해운대구,가압장
658,유량계,북구,북부사업소,10-1블록 유량계,200,전자식,0,2014-05-09,덕산정수장(생활직송),양호,상수맨홀,북구,블록
659,유량계,사상구,북부사업소,47블록 유량계,300,초음파식,1000,2022-04-19,엄궁배수지,양호,상수맨홀,사상구,블록
660,유량계,영도구,시설관리사업소,동삼블록유량계,400,초음파식,277115.88,2010-07-09,해돋이배수지,양호,상수맨홀,영도구,권역
661,유량계,금정구,동래통합사업소,제6블록 유량계,250,전자식,0,2022-04-14,덕천가압장(시내),양호,,금정구,블록
662,유량계,금정구,동래통합사업소,제25-1블록 유량계,150,전자식,0,2023-04-20,서동부스터,양호,,금정구,블록
663,유량계,서구,서부사업소,13블록 유량계,250,초음파식,0,2021-04-19,대티배수지,양호,,서구,블록
664,유량계,강서구,강서사업소,강서9블록유량계(녹산공단),600,초음파식,0,2016-01-01,녹산생활배수지,양호,상수맨홀,강서구,블록
666,유량계,부산진구,부산진사업소,6블록 유량계,250,전자식,0,2020-04-09,당감배수지,양호,,부산진구,블록
488,유량계,영도구,영도사업소,24블록 유량계,150,전자식,276031.57,2022-03-22,해돋이배수지,양호,상수맨홀,영도구,블록
489,유량계,해운대구,해운대사업소,반송2동 제3블록 유량계,150,전자식,292670.79,2019-04-01,명장정수장(가압),양호,상수맨홀,해운대구,블록
490,유량계,해운대구,해운대사업소,반송2동 제2블록 유량계,200,전자식,0,2019-04-01,명장정수장(가압),양호,상수맨홀,해운대구,블록
491,유량계,해운대구,해운대사업소,반송1동 제1블록 유량계,250,전자식,292288.4,2021-04-26,명장정수장(가압),양호,상수맨홀,해운대구,블록
492,유량계,해운대구,해운대사업소,재송1동 제19블록 유량계,300,전자식,287862.37,2023-12-11,덕천가압장(시내),양호,상수맨홀,해운대구,블록
493,유량계,해운대구,해운대사업소,중동 제31블록 유량계,400,초음파식,0,2018-04-24,중동가압장,양호,상수맨홀,해운대구,블록
495,유량계,해운대구,해운대사업소,재송1동  제33블록 유량계,600,초음파식,286623.63,2023-12-11,덕천가압장(시내),양호,상수맨홀,해운대구,블록
496,유량계,동래구,명장정수사업소,제2여과지 역세수 회수 유량계,400,초음파식,0,2017-09-01,명장정수장(가압),양호,,동래구,기타
497,유량계,동래구,명장정수사업소,입상여과지 유입유량계,2500,초음파식,0,2004-12-01,명장정수장(가압),양호,,동래구,기타
498,유량계,동래구,명장정수사업소,원수 유입유량계,1800,초음파식,0,2003-09-01,명장정수장(가압),양호,,동래구,원수
499,유량계,동래구,명장정수사업소,제2여과지 역세수 유량계,1100,초음파식,0,2004-12-01,명장정수장(가압),양호,,동래구,기타
500,유량계,동래구,명장정수사업소,반송계통 유출 유량계,1200,초음파식,4140,2004-11-01,반송가압장,양호,,동래구,권역
501,유량계,동래구,명장정수사업소,명장배수지 유입유량계,1000,초음파식,0,2014-09-01,명장배수지,양호,,동래구,정수장
502,유량계,동래구,명장정수사업소,입상여과지 역세수 유량계,800,초음파식,0,2011-05-01,명장정수장(가압),양호,,동래구,기타
503,유량계,동래구,명장정수사업소,제2정수유출 유량계(서동),250,전자식,0,2004-11-01,명장배수지,양호,,동래구,기타
506,유량계,동래구,명장정수사업소,제1정수유출 유량계(서동계통),300,초음파식,0,2002-08-01,명장정수장(가압),양호,,동래구,기타
507,유량계,동래구,명장정수사업소,입상여과지 역세수 회수 유량계,400,초음파식,0,2016-12-01,명장정수장(가압),양호,,동래구,기타
509,유량계,금정구,명장정수사업소,정수유출 유량계,450,초음파식,0,2002-08-01,,양호,,금정구,기타
510,유량계,강서구,강서사업소,부산신항배수지 유출,700,초음파식,276669.78,2019-02-01,부산신항배수지,양호,,강서구,배수지
511,유량계,금정구,시설관리사업소,유량계 (유출관로),1200,초음파식,0,2011-09-06,덕산정수장(생활가압),양호,,금정구,배수지
512,유량계,해운대구,해운대사업소,제28-2 유량계(미사용),700,초음파식,0,2015-11-06,,양호,상수맨홀,해운대구,
513,유량계,해운대구,시설관리사업소,좌동2배수지 유입,1000,초음파식,287277.32,1996-12-01,덕천가압장(시내),양호,,해운대구,배수지
514,유량계,부산진구,부산진사업소,4블록 유량계,200,전자식,0,2024-04-15,당감배수지,양호,,부산진구,블록
516,유량계,기장군,기장사업소,14블록 유량계,500,초음파식,0,2021-04-30,정관지구고지배수지,양호,,기장군,블록
517,유량계,기장군,기장사업소,15블록 유량계,200,전자식,0,2022-04-27,정관지구고지배수지,양호,,기장군,블록
518,유량계,부산진구,부산진사업소,5블록 유량계,300,초음파식,0,2024-04-04,당감가압장,양호,,부산진구,블록
519,유량계,북구,북부사업소,4블록 유량계,250,전자식,2698,2015-10-07,금곡배수지,양호,상수맨홀,북구,블록
520,유량계,서구,사하사업소,아미,100,전자식,0,2017-06-30,아미부스터,양호,,서구,권역
521,유량계,서구,사하사업소,비교검침 유량계설치공사,50,익차형,0,2021-05-25,아미부스터,양호,,서구,
522,유량계,강서구,강서사업소,,700,전자식,0,2015-06-30,덕산정수장(생활직송),양호,,강서구,
523,유량계,해운대구,해운대사업소,반여2동 제18블록 유량계,200,전자식,0,2024-03-28,반여2배수지2부스터,양호,상수맨홀,해운대구,블록
524,유량계,기장군,시설부(해양정수센터),,700,초음파식,,2014-06-30,,양호,,기장군,
525,유량계,남구,시설관리사업소,문전,900,초음파식,283550.98,2019-12-18,사상가압장(신설),양호,상수맨홀,남구,권역
526,유량계,북구,시설관리사업소,덕산Bypass,1500,초음파식,0,2016-12-01,덕산정수장(생활직송),양호,,북구,권역
528,유량계,북구,시설관리사업소,덕천양수3 유량계(유출관로),1800,초음파식,290722.58,2020-03-12,덕천가압장(오륜),양호,상수맨홀,북구,권역
529,유량계,사하구,시설관리사업소,대티,600,초음파식,0,2018-04-17,괴정1가압장,양호,,서구,권역
530,유량계,강서구,강서사업소,강서1블럭 유량계,300,초음파식,0,2016-12-22,덕산정수장(생활직송),양호,상수맨홀,강서구,블록
531,유량계,사상구,시설관리사업소,사상양수2 유량계(유출관로),2000,초음파식,287369,2016-12-01,사상가압장(신설),양호,,사상구,권역
532,유량계,사상구,시설관리사업소,사상양수1 유량계(유출관로),2200,초음파식,0,2019-05-01,덕산정수장(생활직송),양호,,사상구,권역
533,유량계,강서구,시설관리사업소,구포대교,400,초음파식,290483.43,2016-12-22,,양호,상수맨홀,강서구,권역
534,유량계,기타,시설관리사업소,김해2 유출유량계,300,전자식,0,2017-06-30,덕산정수장(생활직송),양호,상수맨홀,기타,권역
535,유량계,해운대구,해운대사업소,재송1동 제20블록 유량계,200,전자식,0,2005-12-01,반여2배수지,양호,상수맨홀,해운대구,블록
536,유량계,해운대구,해운대사업소,해수담수화용 (미사용),300,전자식,0,2016-05-11,,,상수맨홀,해운대구,
537,유량계,기장군,기장사업소,6블록내 (기장시장 유량계),50,익차형,294086.92,2016-07-25,좌동2배수지,양호,상수맨홀,기장군,기타
538,유량계,동구,중동부사업소,1블록유량계,150,전자식,282384.21,2021-03-04,수정산터널배수지,양호,,동구,블록
539,유량계,기장군,기장사업소,6-1블록 유량계,150,전자식,293056.1,2016-04-22,좌동2배수지,양호,,기장군,블록
540,유량계,남구,남부사업소,제54블록 유량계,400,초음파식,6,2009-06-04,사상가압장(신설),양호,,남구,블록
543,유량계,동래구,동래통합사업소,19블록,150,전자식,0,2017-06-28,명장배수지,양호,상수맨홀,동래구,블록
544,유량계,동래구,동래통합사업소,2블록,300,전자식,0,2024-04-30,덕천가압장(시내),양호,상수맨홀,동래구,블록
545,유량계,북구,북부사업소,12블록 유량계,150,전자식,0,2024-04-16,덕산정수장(생활직송),양호,상수맨홀,북구,블록
546,유량계,연제구,동래통합사업소,연제구 - 남구,150,터어빈형,,2008-10-27,연산배수지,양호,,연제구,권역
547,유량계,북구,북부사업소,6블록 유량계,200,전자식,291256.79,2022-04-19,덕산정수장(생활직송),양호,상수맨홀,북구,블록
548,유량계,사상구,북부사업소,36-1블록 유량계,150,전자식,284430.14,2023-04-03,주례2배수지,양호,,사상구,블록
549,유량계,사하구,사하사업소,31블록유량계,200,전자식,0,2020-02-20,덕산정수장(생활직송),양호,,사하구,블록
550,유량계,서구,서부사업소,20블록 유량계,250,초음파식,0,2021-04-19,복병산배수지,양호,,서구,블록
551,유량계,사하구,사하사업소,37블록유량계,300,초음파식,0,2021-03-04,덕산정수장(생활직송),양호,,사하구,블록
553,유량계,사하구,사하사업소,8블록 유량계설치,200,전자식,0,2018-04-13,사상가압장(기설),양호,,사하구,블록
554,유량계,금정구,동래통합사업소,제24블록 유량계,200,전자식,0,2022-04-12,명장정수장(직송),양호,상수맨홀,금정구,블록
556,유량계,기장군,기장사업소,7블록 유량계,200,초음파식,0,2024-03-26,좌동2배수지,양호,,기장군,블록
557,유량계,사상구,북부사업소,36블록 유량계,150,전자식,0,2023-04-03,주례1배수지,양호,,사상구,블록
558,유량계,금정구,동래통합사업소,제9블록유량계,300,초음파식,,2010-06-22,덕천가압장(시내),양호,,금정구,블록
559,유량계,사상구,북부사업소,23블록 유량계,200,전자식,0,2022-04-19,모라배수지,양호,,사상구,블록
560,유량계,서구,서부사업소,8-2블록 유량계,80,전자식,0,2022-05-23,수정산터널배수지,양호,,서구,블록
561,유량계,강서구,강서사업소,강서4블록 유량계,500,초음파식,284690.1,2022-03-29,덕산정수장(생활직송),양호,상수맨홀,강서구,블록
562,유량계,부산진구,부산진사업소,37블록 유량계,150,전자식,0,2023-03-20,수정산터널배수지,양호,,부산진구,블록
563,유량계,영도구,영도사업소,23블록 유량계,150,전자식,275276.46,2009-12-24,해돋이배수지,양호,상수맨홀,영도구,블록
564,유량계,기장군,시설관리사업소,16블록내구역유량계(명례산단,200,전자식,307853.9,2013-09-30,기장명례배수지,양호,상수맨홀,기장군,권역
565,유량계,동구,중동부사업소,30블록유량계,100,전자식,0,2023-06-09,수정산터널배수지,양호,,동구,블록
566,유량계,동래구,동래통합사업소,1블록 유량계,200,전자식,0,2025-03-17,덕천가압장(시내),양호,상수맨홀,동래구,블록
567,유량계,중구,중동부사업소,17-2블록유량계,300,초음파식,279764.76,2021-06-18,대청배수지,양호,,중구,블록
568,유량계,기장군,기장사업소,11블록 유량계,300,전자식,12,2020-04-23,좌동2배수지,양호,상수맨홀,기장군,블록
570,유량계,동래구,동래통합사업소,4블록 유량계,200,전자식,0,2024-04-30,덕천가압장(오륜),양호,상수맨홀,동래구,블록
571,유량계,해운대구,시설관리사업소,반여2배수지가압장(유출관로),200,초음파식,0,2015-06-26,반여2배수지가압장,양호,,,가압장
572,유량계,동래구,동래통합사업소,10블록 유량계,150,전자식,0,2025-03-18,사직부스터,양호,상수맨홀,동래구,블록
573,유량계,연제구,동래통합사업소,55블록 유량계,200,전자식,0,2024-05-02,연산배수지,양호,상수맨홀,연제구,블록
574,유량계,연제구,동래통합사업소,58블록 유량계,200,전자식,0,2024-05-09,덕천가압장(시내),양호,상수맨홀,연제구,블록
575,유량계,부산진구,부산진사업소,15블록 유량계,250,초음파식,284960.71,2018-11-22,전포1배수지,양호,,부산진구,블록
