id,sigun_gu,lat,lon,geom,facility_type
135,서구,129.0220932,35.09966213,,8
136,서구,129.0180992,35.09981838,,8
137,서구,129.0190139,35.10871939,,8
138,서구,129.0156976,35.10932686,,8
139,서구,129.018738,35.07845743,,8
140,서구,129.0164049,35.07826813,,8
141,서구,129.017787,35.07955573,,8
142,서구,129.0220149,35.08008318,,8
143,서구,129.0248113,35.08470848,,8
144,서구,129.0245741,35.0869037,,8
145,서구,129.0243486,35.08892497,,8
146,서구,129.024182,35.09071057,,8
147,서구,129.0240714,35.09370703,,8
148,서구,129.0163343,35.11292801,,8
149,서구,129.0213072,35.11129836,,8
150,서구,129.0207349,35.11338077,,8
151,서구,129.0176623,35.11572417,,8
152,서구,129.0146827,35.11476992,,8
153,서구,129.0135236,35.11318991,,8
154,서구,129.011999,35.11088697,,8
155,서구,129.0182308,35.11035394,,8
156,수영구,129.1276796,35.15703921,,8
157,서구,129.0201412,35.10766872,,8
158,서구,129.0201214,35.10532346,,8
159,중구,129.0212902,35.10330098,,8
160,서구,129.0197548,35.10040718,,8
161,서구,129.0242181,35.09637744,,8
162,강서구,128.8771205,35.0856673,,8
163,강서구,128.9474305,35.16358268,,8
164,강서구,128.9509995,35.16475245,,8
165,강서구,128.9939181,35.23360623,,8
166,강서구,128.9566305,35.16803048,,8
167,강서구,128.9536199,35.1687445,,8
168,강서구,128.8591567,35.12292323,,8
169,강서구,128.8958371,35.17607092,,8
170,강서구,128.8882469,35.17667928,,8
171,강서구,128.9029261,35.18619005,,8
172,강서구,128.9480184,35.16254791,,8
173,강서구,128.9469898,35.16443378,,8
174,강서구,128.9524252,35.16220842,,8
175,강서구,128.9515147,35.16385251,,8
176,강서구,128.9504669,35.16568967,,8
177,강서구,128.9563429,35.163691,,8
178,강서구,128.9554798,35.16536848,,8
179,강서구,128.9544223,35.16720642,,8
180,강서구,128.9010903,35.17569679,,8
181,강서구,128.8798845,35.13228256,,8
182,강서구,128.8829858,35.13741384,,8
183,강서구,128.8433666,35.10700021,,8
184,강서구,128.8117075,35.03287393,,8
185,강서구,128.8994963,35.08565001,,8
186,강서구,128.8561993,35.12621822,,8
187,강서구,128.874856,35.1038704,,8
188,강서구,128.8720256,35.10456743,,8
189,강서구,128.9012641,35.19606166,,8
190,강서구,128.9025896,35.19492452,,8
191,강서구,128.903653,35.19203972,,8
192,강서구,128.8889417,35.21403751,,8
193,강서구,128.8894345,35.21290819,,8
194,강서구,128.8869996,35.09576571,,8
195,강서구,128.8830581,35.10179528,,8
196,강서구,128.8830494,35.09965977,,8
197,강서구,128.8830203,35.09713235,,8
198,강서구,128.8781938,35.09863321,,8
199,강서구,128.8782532,35.10177474,,8
200,강서구,128.8881017,35.10827758,,8
201,강서구,128.8830286,35.10832682,,8
202,강서구,128.8782282,35.1083178,,8
203,강서구,128.8730038,35.10833227,,8
204,강서구,128.8830294,35.11098757,,8
205,강서구,128.8873444,35.11152793,,8
206,강서구,128.88331,35.11244416,,8
207,강서구,128.8776848,35.11241489,,8
208,강서구,128.9054403,35.08432391,,8
209,강서구,128.9053878,35.08198715,,8
210,강서구,128.8978981,35.0843371,,8
211,강서구,128.834704,35.06995204,,8
212,강서구,128.8347632,35.07411113,,8
213,강서구,128.9010905,35.17957142,,8
214,강서구,128.9076556,35.07958991,,8
215,강서구,128.90492,35.07961607,,8
216,강서구,128.9039563,35.08197632,,8
217,강서구,128.9115673,35.08198049,,8
218,강서구,128.9076882,35.08203817,,8
219,강서구,128.9044613,35.08426891,,8
220,강서구,128.899422,35.08434073,,8
221,강서구,128.9115513,35.08433891,,8
222,강서구,128.9077292,35.08431935,,8
223,강서구,128.9118469,35.08675038,,8
224,강서구,128.9035667,35.07969258,,8
225,강서구,128.8995355,35.07967872,,8
226,강서구,128.9022812,35.08198627,,8
227,강서구,128.8994649,35.0819906,,8
228,강서구,128.8961516,35.08200749,,8
229,강서구,128.9019897,35.08425711,,8
230,강서구,128.8961442,35.08427167,,8
231,강서구,128.9004875,35.08666756,,8
232,강서구,128.897039,35.08899596,,8
233,강서구,128.8939852,35.13545631,,8
234,강서구,128.8905836,35.13642582,,8
235,강서구,128.8905534,35.20915583,,8
236,강서구,128.8912591,35.20663476,,8
237,강서구,128.8917209,35.20476829,,8
238,강서구,128.8922108,35.20307927,,8
239,강서구,128.8928436,35.20158953,,8
240,강서구,128.894436,35.197395,,8
241,강서구,128.8975261,35.19610416,,8
242,강서구,128.9004832,35.1197453,,8
243,강서구,128.9087903,35.19205589,,8
244,강서구,128.9140066,35.19155543,,8
245,강서구,128.9161843,35.19137459,,8
246,강서구,128.8961324,35.12371541,,8
247,강서구,128.9167359,35.1519447,,8
248,강서구,128.9339026,35.11442378,,8
249,강서구,128.8876954,35.1039038,,8
250,강서구,128.8360958,35.14892754,,8
251,강서구,128.8306952,35.1489333,,8
252,강서구,128.8246904,35.14176941,,8
253,강서구,128.8283803,35.14424361,,8
254,강서구,128.8112685,35.14940772,,8
255,강서구,128.809375,35.14941116,,8
256,강서구,128.8302102,35.14601396,,8
257,강서구,128.8307241,35.1506842,,8
258,강서구,128.8329204,35.14893141,,8
259,강서구,128.8247192,35.14896994,,8
260,강서구,128.8194527,35.14965388,,8
261,강서구,128.9075963,35.0864465,,8
262,강서구,128.8355161,35.09794098,,8
263,강서구,128.8967864,35.16807075,,8
264,강서구,128.8931796,35.1635095,,8
265,강서구,128.8332563,35.0889986,,8
266,강서구,128.8610991,35.13252291,,8
267,강서구,128.8965043,35.12103998,,8
268,강서구,128.8552788,35.1272119,,8
269,강서구,128.8556983,35.09347982,,8
270,강서구,128.8558402,35.0979748,,8
271,강서구,128.8394275,35.10390473,,8
272,강서구,128.9278607,35.17365173,,8
273,강서구,128.9248602,35.19568328,,8
274,강서구,128.9779243,35.20609176,,8
275,강서구,128.8818978,35.08337382,,8
276,강서구,128.9741661,35.20756037,,8
277,강서구,128.8943781,35.12213937,,8
278,강서구,128.8429685,35.10506814,,8
279,강서구,128.914939,35.11585187,,8
280,강서구,128.885286,35.11263031,,8
281,강서구,128.8912332,35.1190414,,8
282,강서구,128.8563061,35.1102882,,8
283,강서구,128.9234975,35.1136316,,8
284,강서구,128.8696818,35.11238443,,8
285,강서구,128.8395306,35.09957035,,8
286,강서구,128.9591746,35.17554337,,8
287,강서구,128.8427047,35.09797396,,8
288,강서구,128.839457,35.09559503,,8
289,강서구,128.8571091,35.08895979,,8
290,강서구,128.9261952,35.11307639,,8
291,강서구,128.9590482,35.21516115,,8
292,강서구,128.8787273,35.13869015,,8
293,강서구,128.874023,35.14134297,,8
294,강서구,128.8773704,35.14710305,,8
295,강서구,128.8526492,35.08452072,,8
296,강서구,128.8427416,35.08562149,,8
297,강서구,128.958053,35.17927765,,8
298,강서구,128.8394727,35.08565535,,8
299,강서구,128.9570506,35.18095147,,8
300,해운대구,129.1358438,35.17089243,,8
301,강서구,128.8327434,35.09794119,,8
302,강서구,128.8388263,35.09797066,,8
303,강서구,128.8460428,35.09796113,,8
304,강서구,128.8492314,35.09795864,,8
305,강서구,128.852671,35.09795034,,8
306,강서구,128.8592216,35.09797551,,8
307,강서구,128.8620778,35.09791904,,8
308,강서구,128.8660937,35.09794395,,8
309,강서구,128.8685126,35.09358064,,8
310,강서구,128.862088,35.08896831,,8
311,강서구,128.8592225,35.0884418,,8
312,강서구,128.8526262,35.08847598,,8
313,강서구,128.8492359,35.08895082,,8
314,강서구,128.8460413,35.08897272,,8
315,강서구,128.8427382,35.08898089,,8
316,강서구,128.8394968,35.08947507,,8
317,강서구,128.8268497,35.09424399,,8
318,강서구,128.8241884,35.09637965,,8
319,강서구,128.8268676,35.09867644,,8
320,강서구,128.8295828,35.09648293,,8
321,강서구,128.8394428,35.09345175,,8
322,강서구,128.8460126,35.0934505,,8
323,강서구,128.8492152,35.09346145,,8
324,강서구,128.8591813,35.09347017,,8
325,강서구,128.865793,35.09349228,,8
326,강서구,128.8657806,35.08897859,,8
327,강서구,128.8693508,35.08904638,,8
328,강서구,128.9804067,35.20757739,,8
329,강서구,128.8808511,35.15163029,,8
330,강서구,128.8994686,35.08836447,,8
331,강서구,128.8994806,35.08899601,,8
332,강서구,128.8869224,35.09468521,,8
333,강서구,128.8659165,35.09962117,,8
334,강서구,128.8729308,35.11241881,,8
335,강서구,128.873022,35.08889407,,8
336,강서구,128.8775247,35.08890441,,8
337,강서구,128.8819446,35.08892842,,8
338,강서구,128.984875,35.21041495,,8
339,강서구,128.8864703,35.1598574,,8
340,강서구,128.8848074,35.1561262,,8
341,강서구,128.8896374,35.16247239,,8
342,강서구,128.9456431,35.13408136,,8
343,강서구,128.9479961,35.13873911,,8
344,강서구,128.9368313,35.11918431,,8
345,강서구,128.9400287,35.12420183,,8
346,강서구,128.9437118,35.13055568,,8
347,강서구,128.9354195,35.16215011,,8
348,강서구,128.9354546,35.16871656,,8
349,강서구,128.934938,35.16700525,,8
350,강서구,128.9350502,35.17163833,,8
351,강서구,128.9319595,35.11223337,,8
352,강서구,128.9520225,35.17962262,,8
353,강서구,128.9501926,35.17761248,,8
354,강서구,128.9520081,35.18206651,,8
355,강서구,128.8895172,35.11743304,,8
356,강서구,128.8424404,35.10560037,,8
357,강서구,128.912312,35.08876998,,8
358,강서구,128.918382,35.09048528,,8
359,강서구,128.9274398,35.09915483,,8
360,강서구,128.9255406,35.09363829,,8
361,강서구,128.8986987,35.17004517,,8
362,강서구,128.9696582,35.21492633,,8
363,강서구,128.9032413,35.11898429,,8
364,강서구,128.907294,35.11782834,,8
365,강서구,128.9741776,35.21164197,,8
366,강서구,128.9501819,35.14327734,,8
367,강서구,128.9536687,35.15131764,,8
368,강서구,128.9555073,35.15541192,,8
369,강서구,128.9563345,35.15774551,,8
370,강서구,128.9598236,35.17348771,,8
371,강서구,128.958617,35.16318402,,8
372,강서구,128.9580522,35.1807853,,8
373,강서구,128.9534415,35.18150228,,8
374,강서구,128.9633392,35.19418145,,8
375,강서구,128.9695351,35.20069183,,8
376,강서구,128.9744007,35.2040249,,8
377,강서구,128.9819167,35.21280885,,8
378,강서구,128.9804773,35.21380657,,8
379,강서구,128.9744357,35.21470905,,8
380,강서구,128.9636158,35.21519773,,8
381,강서구,128.9560031,35.2146802,,8
382,강서구,128.9523662,35.21389225,,8
383,강서구,128.9487954,35.21430667,,8
384,강서구,128.9439829,35.21580296,,8
385,강서구,128.940495,35.21695271,,8
386,강서구,128.9362626,35.21840991,,8
387,강서구,128.9325662,35.21974242,,8
388,강서구,128.9043776,35.18969753,,8
389,강서구,128.886163,35.1143104,,8
390,강서구,128.9193671,35.11468477,,8
391,강서구,128.9308998,35.10917671,,8
392,강서구,128.8525987,35.09347654,,8
393,금정구,129.0847744,35.26619772,,8
394,금정구,129.0999155,35.22084275,,8
395,금정구,129.086219,35.23558678,,8
396,금정구,129.1046307,35.21263759,,8
397,금정구,129.0864614,35.24096268,,8
398,금정구,129.0829363,35.24002039,,8
399,금정구,129.100918,35.25367609,,8
400,금정구,129.0920314,35.23597022,,8
401,금정구,129.090602,35.2288418,,8
402,금정구,129.0765646,35.23034497,,8
403,금정구,129.0778856,35.22741611,,8
404,금정구,129.0976273,35.24877276,,8
405,금정구,129.0849583,35.24838813,,8
406,금정구,129.0915639,35.28317561,,8
407,금정구,129.0917283,35.28152419,,8
408,금정구,129.0924606,35.23348447,,8
409,금정구,129.0929207,35.21890885,,8
410,금정구,129.0885709,35.24818962,,8
411,금정구,129.0844243,35.25313879,,8
412,금정구,129.0876928,35.25310667,,8
413,금정구,129.1011804,35.29129385,,8
414,금정구,129.1023791,35.25735562,,8
415,금정구,129.1209809,35.22924689,,8
416,금정구,129.0852112,35.26920611,,8
417,금정구,129.0987193,35.21458662,,8
418,금정구,129.0990305,35.29199036,,8
419,금정구,129.0861834,35.26251525,,8
420,동래구,129.0954743,35.21564244,,8
421,금정구,129.0931046,35.24430352,,8
422,금정구,129.1118745,35.21943719,,8
423,금정구,129.093162,35.25285848,,8
424,금정구,129.0941989,35.28282696,,8
425,금정구,129.104895,35.2185001,,8
426,금정구,129.0841876,35.26708553,,8
427,금정구,129.0800156,35.22586141,,8
428,금정구,129.082258,35.22543004,,8
429,금정구,129.1101006,35.21834122,,8
430,금정구,129.1107963,35.22209214,,8
431,금정구,129.1068278,35.21990538,,8
