번호,시군구명,동명,리명,도로명,교차로명,경도,위도
78,기장군,기장읍,대라리,대청로8번길 7,캐스빌201동 옆,129.2102613,35.23800644
79,기장군,기장읍,대라리,,형제타이어,129.2154643,35.23774327
80,남구,용호동,,,영남제분,129.1050425,35.12957980
81,기장군,기장읍,대라리,차성동로5번길 28,CU기장가인점,129.2151833,35.23786160
82,기장군,철마면,고촌리,,고촌KT분기국사 앞,129.1701389,35.23967764
83,북구,만덕동,,,백산초등학교,129.0323942,35.21022435
84,북구,만덕동,,,만덕그린코아아파트,129.0297266,35.21084081
85,북구,만덕동,,,만덕그린코아아파트,129.0300187,35.21054266
86,북구,만덕동,,,만덕그린코아아파트,129.0299078,35.21052288
87,북구,만덕동,,,만덕그린코아아파트,129.0296466,35.21053196
88,북구,만덕동,,만덕3로 10,(만덕공업기술원)부산 이노비즈 센터,129.0257047,35.21249573
89,동래구,안락동,,,목화장 앞,129.0977986,35.19694422
90,북구,만덕동,,만덕3로 12,(만덕공업기술원)부산 이노비즈 센터,129.0258852,35.21238121
91,동래구,명장동,,,충렬탕,129.1113350,35.20157674
92,남구,대연동,,진남로 95-11,대연여상,129.0848398,35.13813082
93,북구,구포동,,백양대로 1009,구포삼정그린코아,128.9948152,35.19646195
94,북구,구포동,,백양대로1015번길 24,구포삼정그린코아,128.9944774,35.19639443
95,북구,구포동,,백양대로 1009,구포삼정그린코아,128.9947055,35.19626924
96,북구,구포동,,백양대로 1022-1,구포삼정그린코아,128.9944710,35.19631123
97,북구,금곡동,,효열로 276,금곡역,129.0177812,35.26814495
98,북구,금곡동,,효열로 268,금곡역,129.0174214,35.26815879
99,북구,금곡동,,금곡대로616번길 151,금곡역,129.0172140,35.26778684
100,북구,금곡동,,효열로 276,금곡역,129.0176120,35.26782365
101,북구,금곡동,,,금곡주유소,129.0154440,35.26400819
102,북구,금곡동,,,금곡주유소,129.0150166,35.26389206
103,북구,금곡동,,,금곡주유소,129.0152560,35.26368139
104,북구,금곡동,,,금곡주유소,129.0147023,35.26226399
105,북구,금곡동,,,금곡주유소,129.0143179,35.26236563
106,북구,금곡동,,,금곡주유소,129.0147300,35.26246554
107,북구,금곡동,,,금곡주유소,129.0147364,35.26253242
108,북구,금곡동,,,조달청부산지청,129.0107150,35.25290795
109,북구,금곡동,,,조달청부산지청,129.0103766,35.25313932
110,북구,금곡동,,,조달청부산지청,129.0106333,35.25323123
111,기장군,철마면,와여리,,승가네 한우,129.1477431,35.27522488
112,북구,구포동,,,삼진섬유,128.9902461,35.19367184
113,북구,금곡동,,,조달청부산지청,129.0104258,35.25292397
114,기장군,철마면,고촌리,고촌로 11,신진병설유치원 앞,129.1709791,35.23967515
115,기장군,철마면,고촌리,고촌로 11,신진초등학교,129.1720019,35.23978191
116,기장군,철마면,안평리,,안평본동입구,129.1748014,35.23766274
117,기장군,철마면,안평리,,에스오일 맞은편,129.1878563,35.24906307
118,서구,토성동4가,,충무대로 279-1,충무로타리,129.0241904,35.09625978
119,기장군,철마면,안평리,,안평삼거리 중앙분리대,129.1800108,35.24644587
120,부산진구,부전동,,,서면 한전,129.0597634,35.15338165
121,기장군,일광면,원리,,원랑마을 입구,129.2477815,35.30559621
122,기장군,일광면,좌천리,,장안좌천교,129.2379425,35.31251564
123,기장군,일광면,좌천리,,장안좌천교,129.2380523,35.31360609
124,기장군,일광면,좌천리,,장안좌천교,129.2382373,35.31406566
125,기장군,장안읍,좌동리,,원자력병원 후문(2),129.2423589,35.32135529
126,기장군,장안읍,좌천리,좌천5길 12,좌천농협,129.2440273,35.31236434
127,기장군,일광면,좌천리,,좌천우체국,129.2409766,35.31020923
128,기장군,일광면,좌천리,,좌천시장 버스정류소,129.2426746,35.30923179
129,기장군,장안읍,장안리,,장안사진입로A,129.2387384,35.37146658
130,기장군,장안읍,장안리,,장안사진입로A,129.2387140,35.37156202
131,기장군,장안읍,기룡리,,미타사 입구,129.2516866,35.35323503
132,기장군,장안읍,기룡리,,기룡마을 농수산물직판장,129.2517311,35.35503156
133,기장군,장안읍,장안리,,하장안마을입구,129.2486011,35.36285265
134,기장군,장안읍,장안리,,장안사 물레방아,129.2456165,35.36987293
