번호,시군구명,동명,리명,도로명,교차로명,위도,경도
92,사상구,모라동,,,,35.18649329,128.9908349
93,사상구,모라동,,,,35.18648491,128.9907657
94,사상구,모라동,,,,35.18652814,128.9907929
95,사상구,모라동,,,,35.18649088,128.9908002
96,사상구,덕포동,,삼덕로 71,,35.17354691,128.9855241
97,사상구,덕포동,,삼덕로 83,,35.17339098,128.9863071
98,사상구,덕포동,,삼덕로 83,,35.17339971,128.9862745
99,사상구,덕포동,,삼덕로 83,덕포초교,35.17340333,128.9861640
100,사상구,덕포동,,삼덕로 83,덕포초교,35.17341206,128.9861314
101,사상구,덕포동,,삼덕로 83,덕포초교,35.17333696,128.9862049
102,사상구,덕포동,,삼덕로 83,,35.17332571,128.9862296
103,사상구,덕포동,,삼덕로 83,,35.17334157,128.9862730
104,사상구,덕포동,,삼덕로 83,,35.17333295,128.9863049
105,사상구,삼락동,,,,35.16149605,128.9753199
106,사상구,엄궁동,,,,35.12947564,128.9705900
107,사상구,엄궁동,,,,35.12944530,128.9705654
108,사상구,엄궁동,,,,35.12945862,128.9706217
109,사상구,엄궁동,,,엄궁동사무소,35.12942596,128.9705961
110,사상구,엄궁동,,,,35.12870288,128.9699807
111,사상구,엄궁동,,,,35.12867285,128.9699566
112,사상구,엄궁동,,,,35.12868830,128.9700096
113,사상구,엄궁동,,,,35.12865794,128.9699843
114,사상구,엄궁동,,낙동대로 733,,35.12829070,128.9698378
115,사상구,엄궁동,,낙동대로 733,,35.12832454,128.9698570
116,사상구,엄궁동,,낙동대로 733,,35.12827921,128.9698666
117,사상구,엄궁동,,낙동대로 733,,35.12830944,128.9698854
118,사상구,엄궁동,,낙동대로 733,,35.12826214,128.9698966
119,사상구,엄궁동,,낙동대로 733,,35.12829466,128.9699174
120,사상구,주례동,,,,35.15042174,129.0041083
121,사상구,주례동,,,,35.15045712,129.0041446
122,사상구,주례동,,,,35.15049172,129.0042049
123,사상구,주례동,,,,35.15052758,129.0042699
124,사상구,주례동,,,,35.15056344,129.0043279
125,사상구,주례동,,,,35.15074649,129.0046026
126,사상구,주례동,,,,35.15078634,129.0046517
127,사상구,주례동,,,,35.15071488,129.0045368
128,사상구,주례동,,,,35.15067692,129.0044711
129,사상구,주례동,,,,35.15064205,129.0043983
130,사상구,주례동,,,,35.15073894,129.0040811
131,사상구,주례동,,,,35.15069227,129.0039548
132,사상구,주례동,,가야대로 278-1,,35.15065155,129.0038161
133,사상구,주례동,,가야대로 278-1,,35.15065062,129.0037749
134,사상구,주례동,,,,35.15060843,129.0036570
