시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자
주례2동행정복지센터,부산광역시,사상구,26530,부산광역시 사상구 주례로10번길 15(주례동),부산광역시 사상구 주례동 154-1,35.1500844,129.010435,00:00,23:59,00:00,23:59,00:00,23:59,48,0,0,2,"통합관제센터에서 택배도착문자 및 인증번호 발송, 본인은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/03+02/04+03/12,01/60+02/60+03/60,01/50+02/50+03/50,01/60+02/30+03/22.5,2017-01-01,051-612-1912,부산광역시 사상구청,051-612-1912,2026-05-18
덕포1동한내행복마을,부산광역시,사상구,26530,부산광역시 사상구 사상로277번길 22-9(덕포동),부산광역시 사상구 덕포동 427-1,35.1702907,128.9812934,00:00,23:59,00:00,23:59,00:00,23:59,48,0,0,2,"통합관제센터에서 택배도착문자 및 인증번호 발송, 본인은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/03+02/04+03/12,01/60+02/60+03/60,01/50+02/50+03/50,01/60+02/30+03/22.5,2017-01-01,051-612-1912,부산광역시 사상구청,051-612-1912,2026-05-18
