id,sigun_gu,lat,lon,geom,facility_type
53,금정구,129.0970673,35.25134462,,7
54,금정구,129.0976485,35.25088845,,7
55,금정구,129.0991494,35.24925,,7
56,금정구,129.0996293,35.25326912,,7
57,금정구,129.0997898,35.25311755,,7
58,금정구,129.0995716,35.25243301,,7
59,해운대구,129.1206678,35.21828786,,7
60,해운대구,129.1210118,35.21340501,,7
61,해운대구,129.1191518,35.21728151,,7
62,해운대구,129.1190025,35.21734181,,7
63,해운대구,129.1190947,35.21741965,,7
64,기장군,129.2205193,35.2514407,,7
65,기장군,129.2215016,35.25203762,,7
66,기장군,129.2338221,35.26758276,,7
67,기장군,129.2330816,35.26213995,,7
68,기장군,129.231856,35.27769431,,7
69,기장군,129.2317855,35.27759417,,7
70,기장군,129.2319025,35.27803151,,7
71,기장군,129.2257542,35.25852086,,7
72,기장군,129.2247203,35.25706363,,7
73,기장군,129.2315002,35.27446008,,7
74,기장군,129.2317026,35.27490563,,7
75,기장군,129.2312768,35.27460765,,7
76,기장군,129.2355105,35.29108046,,7
77,강서구,128.9806952,35.21114178,,7
78,기장군,129.2353915,35.29161307,,7
79,기장군,129.235943,35.29195961,,7
80,부산진구,129.0314779,35.16429569,,7
81,기장군,129.2553571,35.35195976,,7
82,금정구,129.103961,35.24872838,,7
83,기장군,129.2254079,35.25838313,,7
84,해운대구,129.1183237,35.19391768,,7
85,해운대구,129.1163344,35.19376576,,7
86,해운대구,129.1180059,35.19352249,,7
87,해운대구,129.1209968,35.19586547,,7
88,금정구,129.089151,35.22628569,,7
89,기장군,129.2070663,35.20631289,,7
90,기장군,129.2082807,35.20754352,,7
91,기장군,129.215476,35.22998495,,7
92,기장군,129.2173568,35.23518305,,7
93,기장군,129.2185215,35.23703754,,7
94,기장군,129.2195009,35.23859207,,7
95,기장군,129.2201746,35.23966654,,7
96,기장군,129.2206546,35.24333972,,7
97,해운대구,129.2055518,35.18122648,,7
98,해운대구,129.2055836,35.18144608,,7
99,부산진구,129.0306843,35.16360338,,7
100,강서구,128.932016,35.2199675,,7
101,강서구,128.9353474,35.21869821,,7
102,해운대구,129.2012472,35.18365187,,7
103,해운대구,129.2026398,35.18721132,,7
104,기장군,129.2202434,35.24084981,,7
105,기장군,129.2208311,35.24435312,,7
106,기장군,129.2209083,35.25104599,,7
107,해운대구,129.2038152,35.18969668,,7
108,연제구,129.0808422,35.19594836,,7
109,동래구,129.096831,35.19822756,,7
