연번,경찰서,구분,살인,강도,성범죄,절도,폭력
1,중부,경찰서,0,3,64,643,603
2,동래,경찰서,2,1,106,1279,1109
3,영도,경찰서,3,2,21,457,413
4,동부,경찰서,3,2,70,572,717
5,부산진,경찰서,5,8,321,2624,2628
6,서부,경찰서,0,1,35,741,445
7,남부,경찰서,3,2,153,1097,1461
8,해운대,경찰서,8,2,149,1636,1492
9,사상,경찰서,1,1,94,683,908
10,금정,경찰서,2,0,64,718,697
11,사하,경찰서,4,3,90,836,1365
12,연제,경찰서,0,1,118,898,1168
13,강서,경찰서,1,0,42,352,569
14,북부,경찰서,3,2,76,921,905
15,기장,경찰서,3,7,51,595,707
16,수영,경찰서,0,0,48,304,352
