관서명,구분,경찰서,주소,경도,위도
공항,파출소,부산강서,부산광역시 강서구 공항진입로 39,128.9543399,35.1812037
녹산,파출소,부산강서,부산광역시 강서구 낙동남로604번길 2-17,128.8862887,35.1127383
신호,파출소,부산강서,부산광역시 강서구 녹산산단335로 12-22,128.8564105,35.0898856
명지,지구대,부산강서,부산광역시 강서구 명지국제2로28번길 13,128.9086261,35.0939332
가덕도,파출소,부산강서,부산광역시 강서구 동선길 134,128.8309687,35.0528603
지사,파출소,부산강서,부산광역시 강서구 과학산단2로20번길 7-20,128.8321644,35.1511531
덕천,지구대,부산북부,부산광역시 북구 금곡대로 66-8,129.0051528,35.2155773
구포,지구대,부산북부,부산광역시 북구 시랑로79번길 3,129.0062694,35.1988646
만덕,지구대,부산북부,부산광역시 북구 은행나무로36번가길 24,129.0391397,35.2055504
화명,지구대,부산북부,부산광역시 북구 용당로 6,129.0096849,35.2318172
금곡,파출소,부산북부,부산광역시 북구 금곡대로 462,129.0130817,35.2496222
기장,지구대,부산기장,부산광역시 기장군 기장읍 차성동로 94-6,129.2174807,35.2458595
일광,파출소,부산기장,부산광역시 기장군 일광면 일광로 77-15,129.2324002,35.264177
장안,파출소,부산기장,부산광역시 기장군 장안읍 해맞이로 5,129.2442836,35.3128566
정관,지구대,부산기장,부산광역시 기장군 정관읍 용수로 17,129.1788799,35.3253316
철마,파출소,부산기장,부산광역시 기장군 철마면 철마로 473,129.148636,35.2749579
광남,지구대,부산수영,부산광역시 수영구 수영로554번길 52,129.1152167,35.1543021
광민,지구대,부산수영,부산광역시 수영구 광안해변로295번길 22,129.1253794,35.1574211
망미1,파출소,부산수영,부산광역시 수영구 망미로8번길 74,129.1011846,35.1726613
수영망미2,파출소,부산수영,부산광역시 수영구 수영성로 36-1 (수영동),129.1159225,35.1705054
