번호,시군구명,동명,리명,도로명,교차로명,경도,위도
92,부산진구,전포동,,,상공회의소,129.0631448,35.14847711
93,부산진구,전포동,,,상공회의소,129.0629872,35.14846136
94,부산진구,전포동,,,상공회의소,129.0630391,35.14850844
95,부산진구,전포동,,,상공회의소,129.0632925,35.14856438
96,부산진구,전포동,,,상공회의소,129.0627421,35.14849291
97,부산진구,전포동,,,상공회의소,129.0629266,35.14853427
98,부산진구,전포동,,,상공회의소,129.0627278,35.14847025
99,부산진구,전포동,,,상공회의소,129.0632071,35.14892159
100,부산진구,전포동,,,상공회의소,129.0630145,35.14872596
101,부산진구,전포동,,,상공회의소,129.0630823,35.14888804
102,부산진구,전포동,,,상공회의소,129.0629832,35.14873378
103,부산진구,전포동,,,상공회의소,129.0629258,35.14874521
104,부산진구,전포동,,,상공회의소,129.0629258,35.14870415
105,부산진구,전포동,,전포대로 181,진여중,129.0655253,35.15573564
106,부산진구,전포동,,,상공회의소,129.0627061,35.14830604
107,부산진구,전포동,,황령대로 19,상공회의소,129.0625919,35.14858758
108,부산진구,전포동,,황령대로17번길 10,상공회의소,129.0624626,35.14839360
109,부산진구,전포동,,,상공회의소,129.0620613,35.14829484
110,부산진구,전포동,,,상공회의소,129.0620584,35.14826488
111,부산진구,전포동,,,상공회의소,129.0620867,35.14824556
112,부산진구,전포동,,,상공회의소,129.0620992,35.14822180
113,부산진구,범천동,,황령대로17번길 12-1,,129.0615420,35.14806920
114,부산진구,전포동,,황령대로17번길 10,상공회의소,129.0624407,35.14846081
115,부산진구,범천동,,,상공회의소,129.0619472,35.14829435
116,부산진구,전포동,,,상공회의소,129.0621069,35.14819520
117,부산진구,범천동,,황령대로17번길 12-1,,129.0613315,35.14799901
118,부산진구,전포동,,,문전로타리(동성로타리),129.0650901,35.14918963
119,부산진구,전포동,,,문전로타리(동성로타리),129.0644069,35.14913208
120,부산진구,전포동,,,문전로타리(동성로타리),129.0650285,35.14934812
121,부산진구,전포동,,,문전로타리(동성로타리),129.0649911,35.14936413
122,부산진구,전포동,,황령대로 61,문전로타리(동성로타리),129.0653492,35.14920082
123,부산진구,전포동,,황령대로 61,문전로타리(동성로타리),129.0653803,35.14913133
124,부산진구,전포동,,황령대로 61,문전로타리(동성로타리),129.0652091,35.14914799
125,부산진구,전포동,,황령대로 61,문전로타리(동성로타리),129.0651913,35.14916905
126,부산진구,전포동,,황령대로 61,문전로타리(동성로타리),129.0651667,35.14917612
127,부산진구,전포동,,,문전로타리(동성로타리),129.0647777,35.14905195
128,부산진구,전포동,,동천로 4,문전로타리(동성로타리),129.0645922,35.14892302
129,부산진구,전포동,,,문전로타리(동성로타리),129.0662597,35.14941694
130,부산진구,전포동,,황령대로 61,문전로타리(동성로타리),129.0657636,35.14930062
131,부산진구,전포동,,전포대로 159,,129.0655887,35.15038950
132,부산진구,전포동,,전포대로 159,문전로타리(동성로타리),129.0655954,35.15000688
133,부산진구,전포동,,,문전로타리(동성로타리),129.0653099,35.14985803
134,사상구,엄궁동,,낙동대로 733,,128.9694441,35.12755449
135,부산진구,전포동,,서전로58번길 69,진여중,129.0654197,35.15495641
136,부산진구,전포동,,전포대로 159,문전로타리(동성로타리),129.0656961,35.14998831
137,부산진구,전포동,,황령대로 67,문전로타리(동성로타리),129.0656788,35.14969847
138,부산진구,전포동,,전포대로 159,문전로타리(동성로타리),129.0651663,35.15070547
139,부산진구,전포동,,서전로58번길 70,,129.0654025,35.15342107
140,부산진구,전포동,,서전로58번길 70,,129.0653232,35.15341643
141,부산진구,전포동,,서전로58번길 69,진여중,129.0653936,35.15411366
142,부산진구,전포동,,,진여중,129.0653533,35.15424016
143,부산진구,전포동,,서전로58번길 94,진여중,129.0653135,35.15417963
144,부산진구,전포동,,전포대로 181,진여중,129.0652437,35.15442705
145,부산진구,전포동,,전포대로 181,진여중,129.0655062,35.15454801
146,부산진구,전포동,,전포대로 181,진여중,129.0653772,35.15450826
147,부산진구,전포동,,전포대로 181,진여중,129.0653668,35.15446679
148,부산진구,전포동,,서전로58번길 69,진여중,129.0654468,35.15434541
149,부산진구,전포동,,전포대로 181,진여중,129.0653249,35.15446683
150,부산진구,전포동,,,진여중,129.0655819,35.15398751
151,부산진구,전포동,,서전로58번길 70,진여중,129.0651486,35.15397304
152,부산진구,전포동,,전포대로 181,진여중,129.0653423,35.15500963
153,부산진구,전포동,,서전로58번길 40,진여중,129.0655305,35.15526114
154,부산진구,전포동,,전포대로 181,진여중,129.0652525,35.15467488
155,부산진구,전포동,,서전로58번길 70,진여중,129.0653022,35.15506667
156,부산진구,전포동,,서전로58번길 69,진여중,129.0654545,35.15497377
157,부산진구,전포동,,서전로58번길 40,진여중,129.0652648,35.15517350
158,서구,서대신동3가,,시약로117번길 17-5,,129.0096750,35.12102857
159,부산진구,전포동,,서전로58번길 40,진여중,129.0652284,35.15518753
160,부산진구,전포동,,서전로58번길 69,진여중,129.0654911,35.15499150
161,부산진구,전포동,,서전로58번길 40,진여중,129.0651937,35.15518724
162,부산진구,전포동,,전포대로 181,진여중,129.0653834,35.15484873
163,부산진구,전포동,,전포대로 181,진여중,129.0653819,35.15510286
164,부산진구,전포동,,서전로58번길 40,진여중,129.0654739,35.15542222
165,부산진구,전포동,,서전로58번길 40,진여중,129.0655584,35.15500445
166,부산진구,전포동,,서전로58번길 70,진여중,129.0651465,35.15499524
167,부산진구,전포동,,,진여중,129.0654774,35.15649818
168,부산진구,전포동,,서전로46번길 10-5,진여중,129.0654078,35.15618917
169,부산진구,전포동,,서전로58번길 40,,129.0651841,35.15628768
170,부산진구,전포동,,서전로58번길 40,진여중,129.0652227,35.15553937
171,부산진구,전포동,,전포대로223번길 14-2,진여중,129.0652943,35.15617439
172,부산진구,전포동,,전포대로223번길 14-2,진여중,129.0653335,35.15617977
173,부산진구,전포동,,서전로58번길 40,,129.0652389,35.15647257
174,부산진구,전포동,,,진여중,129.0654412,35.15648841
175,부산진구,전포동,,,,129.0655471,35.15613501
176,부산진구,전포동,,전포대로 181,진여중,129.0655724,35.15562887
177,부산진구,전포동,,서전로58번길 40,진여중,129.0651023,35.15652155
178,부산진구,전포동,,전포대로223번길 14-2,,129.0652981,35.15689549
179,부산진구,전포동,,,전포로타리,129.0654557,35.15756755
180,부산진구,전포동,,,전포로타리,129.0653061,35.15664854
181,부산진구,전포동,,,전포로타리,129.0652012,35.15743412
182,부산진구,전포동,,,전포로타리,129.0655673,35.15754661
183,부산진구,전포동,,,전포로타리,129.0655419,35.15757331
184,부산진구,전포동,,,전포로타리,129.0655591,35.15718562
185,부산진구,전포동,,,전포로타리,129.0650161,35.15758972
186,부산진구,전포동,,,전포로타리,129.0649711,35.15759196
187,부산진구,전포동,,서전로67번길 7,,129.0662445,35.15779340
188,부산진구,전포동,,동성로87번길 5,,129.0666469,35.15778345
189,부산진구,전포동,,전포대로 242,,129.0667348,35.15781384
190,부산진구,전포동,,서전로67번길 7,,129.0662555,35.15774958
191,부산진구,전포동,,,,129.0661392,35.15781737
192,부산진구,전포동,,,전포로타리,129.0657430,35.15769815
193,부산진구,전포동,,,전포로타리,129.0657048,35.15779790
194,부산진구,전포동,,,전포로타리,129.0658556,35.15782337
195,부산진구,전포동,,,전포로타리,129.0657784,35.15779493
196,부산진구,전포동,,,,129.0659793,35.15775067
197,부산진구,전포동,,,전포로타리,129.0658283,35.15777214
198,부산진구,전포동,,,,129.0660540,35.15772854
199,부산진구,전포동,,,전포로타리,129.0658077,35.15765382
200,부산진구,전포동,,,전포로타리,129.0656705,35.15766392
201,부산진구,전포동,,,전포로타리,129.0655592,35.15769898
202,부산진구,전포동,,,전포로타리,129.0652431,35.15776651
203,부산진구,전포동,,,전포로타리,129.0651982,35.15778122
204,부산진구,전포동,,,전포로타리,129.0652193,35.15775097
205,부산진구,전포동,,,전포로타리,129.0652338,35.15769568
206,부산진구,전포동,,,,129.0646381,35.15766832
207,부산진구,전포동,,,전포로타리,129.0644904,35.15780437
208,부산진구,전포동,,,전포로타리,129.0650476,35.15774195
209,부산진구,범천동,,신천대로183번길 64-7,,129.0481841,35.15671568
210,부산진구,전포동,,,전포로타리,129.0644395,35.15777235
211,부산진구,전포동,,,전포로타리,129.0643753,35.15774422
212,부산진구,전포동,,,,129.0647285,35.15784946
213,부산진구,전포동,,,전포로타리,129.0649686,35.15784439
214,부산진구,전포동,,,전포로타리,129.0649983,35.15764412
215,부산진구,전포동,,,전포로타리,129.0655064,35.15772431
216,부산진구,전포동,,,전포로타리,129.0654256,35.15777604
217,부산진구,전포동,,,전포로타리,129.0654188,35.15778064
218,부산진구,전포동,,,전포로타리,129.0654048,35.15797587
219,부산진구,전포동,,,전포로타리,129.0653953,35.15788225
220,부산진구,전포동,,,전포로타리,129.0654931,35.15804189
221,부산진구,전포동,,,전포로타리,129.0654912,35.15795683
