시군구명,동명,리명,도로명주소,교차로명,경도,위도
금정구,노포동,-,중앙대로 2238,노포전철역버스회차장앞,129.0943899,35.28295185
금정구,노포동,-,중앙대로 2238,노포전철역버스회차장앞,129.0941198,35.28290817
금정구,노포동,-,중앙대로 2238,노포전철역버스회차장앞,129.0941452,35.28274713
금정구,노포동,-,중앙대로 2238,노포전철역버스회차장앞,129.0941436,35.28274754
금정구,서동,-,-,서곡초교,129.1050744,35.218576
금정구,서동,-,-,서곡초교,129.1050651,35.21858409
금정구,서동,-,-,서곡초교,129.1049242,35.21843502
금정구,서동,-,-,서곡초교,129.1049242,35.21843502
강서구,-,-,-,-,128.8541346,35.08884867
금정구,서동,-,-,서곡초교,129.1048862,35.21841541
금정구,서동,-,-,서곡초교,129.1047373,35.21840402
금정구,남산동,-,-,남산고교앞삼거리,129.0841192,35.26700197
금정구,장전동,-,식물원로 82,문영학원,129.0799335,35.22589392
금정구,장전동,-,식물원로 82,문영학원,129.0799335,35.22589522
금정구,장전동,-,식물원로 82,장전2동사무소(온천화목타운직결),129.0820496,35.22546481
금정구,장전동,-,식물원로 82,장전2동사무소(온천화목타운직결),129.0822986,35.2255397
금정구,장전동,-,식물원로 82,장전2동사무소(온천화목타운직결),129.0821248,35.22529315
금정구,장전동,-,식물원로 82,장전2동사무소(온천화목타운직결),129.0821413,35.22529131
금정구,장전동,-,식물원로 82,장전2동사무소(온천화목타운직결),129.0821402,35.22529143
금정구,서동,-,개좌로 43,금사초교,129.1100382,35.21837495
금정구,서동,-,개좌로 43,금사초교,129.1100382,35.21837495
금정구,서동,-,개좌로 43,금사초교,129.1100709,35.21835448
금정구,금사동,-,사천로7번길 49-3,금사여중,129.1106406,35.22207037
금정구,서동,-,서부로 71,서동초교,129.0986499,35.21897149
금정구,서동,-,서부로 71,서동초교,129.0986441,35.21897644
금정구,서동,-,서동로103번길 14,서동홍인약국,129.0983571,35.21652485
금정구,서동,-,서동로103번길 14,서동홍인약국,129.0983602,35.21653526
금정구,서동,-,서동로79번길 49,서동홍인약국,129.0982375,35.216616
금정구,노포동,-,중앙대로 2238,노포동전철역,129.0947949,35.28418185
금정구,노포동,-,중앙대로 2238,노포동전철역,129.0945764,35.28408834
금정구,구서동,-,금단로 113,삼창맨션(남산중학교),129.0931425,35.25844287
금정구,구서동,-,금단로 113,삼창맨션(남산중학교),129.0931516,35.2584454
금정구,구서동,-,금단로 113,삼창맨션(남산중학교),129.0931412,35.2584425
금정구,구서동,-,금단로 113,삼창맨션(남산중학교),129.093138,35.25865446
금정구,구서동,-,금단로 113,삼창맨션(남산중학교),129.093138,35.25865446
금정구,구서동,-,금단로 113,삼창맨션(남산중학교),129.0931138,35.25864504
금정구,남산동,-,두실로 50-19,남산초교,129.0880727,35.26224274
금정구,남산동,-,두실로 54-14,남산초교,129.0880008,35.26220893
금정구,남산동,-,남산로37번길 53-3,럭키남산아파트입구,129.0884724,35.26403684
금정구,남산동,-,남산로37번길 53-3,럭키남산아파트입구,129.0883961,35.26396328
금정구,구서동,-,-,일선약국,129.0877657,35.2581526
금정구,구서동,-,-,일선약국,129.0877025,35.25805083
금정구,구서동,-,금강로 535-5,구서초교,129.087702,35.25454545
금정구,구서동,-,금강로 535-5,구서초교,129.0876958,35.25454546
금정구,구서동,-,금강로541번길 9-10,구서초교,129.0877944,35.25462505
금정구,구서동,-,금강로541번길 9-10,구서초교,129.0877944,35.25462964
금정구,구서동,-,금강로541번길 5-2,구서초교,129.0877765,35.25484465
금정구,구서동,-,금강로541번길 5-2,구서초교,129.0877715,35.25484465
금정구,구서동,-,-,구서롯데캐슬801동,129.0876561,35.2524242
동래구,안락동,-,-,남창주유소,129.1031431,35.19680124
해운대구,반송동,-,-,-,129.1565133,35.23005575
금정구,구서동,-,-,구서롯데캐슬801동,129.0877894,35.2524879
금정구,구서동,-,금강로 503,구서롯데캐슬801동,129.0877186,35.2522431
금정구,구서동,-,수림로66번길 67-1,파고다맨션,129.0866514,35.24292334
금정구,구서동,-,수림로66번길 67-1,파고다맨션,129.0866479,35.24291988
금정구,장전동,-,부산대학로50번길 11-10,부산대학정문,129.0852922,35.23137684
금정구,장전동,-,부산대학로50번길 11-10,부산대학정문,129.0852922,35.23137684
금정구,장전동,-,금강로 270,부산대학정문,129.0853,35.23141435
금정구,장전동,-,금강로 270,부산대학정문,129.0853023,35.23142553
금정구,장전동,-,금강로 270-5,부산대학정문,129.0849961,35.23150876
금정구,장전동,-,부산대학로64번길 14-3,부산대학정문,129.0849995,35.23152678
금정구,장전동,-,금강로 270-3,부산대학정문,129.0849974,35.23151609
금정구,장전동,-,부산대학로50번길 11-10,부산대학정문,129.0850879,35.23136824
금정구,장전동,-,부산대학로50번길 11-10,부산대학정문,129.0850805,35.23136939
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23999466
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23999466
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23999466
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23999466
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23999466
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23999466
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23999466
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23999466
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23996733
금정구,장전동,-,금강로 352,제일김약국,129.0862937,35.23996445
금정구,장전동,-,금강로 352,제일김약국,129.0865866,35.23992797
금정구,장전동,-,금강로 352,제일김약국,129.0865866,35.23993196
금정구,장전동,-,수림로62번길 9,제일김약국,129.0864406,35.23978432
금정구,구서동,-,금정로207번길 8-11,함흥맨션,129.0894061,35.2428597
금정구,구서동,-,금정로207번길 8-11,함흥맨션,129.0892772,35.24283553
금정구,장전동,-,금정로19번길 14-6,금정초교후문,129.0858174,35.22639461
금정구,장전동,-,-,금정초교후문,129.0857382,35.22620759
금정구,장전동,-,-,금정초교후문,129.0857493,35.22620694
금정구,장전동,-,금강로 225,금정초교,129.0831992,35.22738173
금정구,장전동,-,금강로 225,금정초교,129.0831323,35.22713854
금정구,장전동,-,-,소정천사거리,129.0854874,35.22443125
금정구,장전동,-,-,소정천사거리,129.0855051,35.22443046
금정구,장전동,-,-,소정천사거리,129.0855032,35.22443054
금정구,장전동,-,-,소정천사거리,129.0855031,35.22443055
금정구,장전동,-,-,소정천사거리,129.0853605,35.22468247
금정구,장전동,-,-,소정천사거리,129.0853466,35.22465096
금정구,장전동,-,-,소정천사거리,129.0853466,35.22465096
금정구,장전동,-,식물원로 32,소정천사거리,129.0857093,35.22445834
금정구,장전동,-,식물원로 32,소정천사거리,129.0857096,35.22445912
금정구,부곡동,-,동현로 28,동현초교,129.0925152,35.22287744
금정구,청룡동,-,-,노포전철후문,129.0930673,35.2773103
금정구,청룡동,-,-,노포전철후문,129.0930659,35.27731038
금정구,청룡동,-,-,노포전철후문,129.09286,35.27704975
금정구,청룡동,-,-,노포전철후문,129.0928584,35.27705
금정구,남산동,-,-,남산주유소,129.0928581,35.26676134
금정구,남산동,-,-,남산주유소,129.0928772,35.26676068
금정구,남산동,-,-,남산주유소,129.0928755,35.26676074
금정구,남산동,-,-,남산주유소,129.0928592,35.26676131
금정구,남산동,-,-,남산주유소,129.0926009,35.2663552
금정구,남산동,-,-,남산주유소,129.092618,35.26635519
금정구,남산동,-,-,남산주유소,129.0926202,35.26635518
금정구,구서동,-,-,금강주유소,129.0914902,35.26055209
금정구,구서동,-,-,금강주유소,129.0914893,35.26055224
금정구,구서동,-,-,금강주유소,129.0915279,35.26054576
금정구,구서동,-,-,금강주유소,129.0914959,35.26055114
금정구,구서동,-,-,금강주유소,129.091497,35.26055096
금정구,구서동,-,-,금강주유소,129.0912689,35.26015941
금정구,구서동,-,-,금강주유소,129.0913071,35.26015835
금정구,구서동,-,-,금강주유소,129.0913053,35.2601584
금정구,구서동,-,-,금강주유소,129.0913116,35.26015823
금정구,구서동,-,-,금강주유소,129.0913118,35.26015822
금정구,금사동,-,공단로8번길 16,부산화물터미널,129.1105194,35.21457352
금정구,금사동,-,공단로8번길 16,부산화물터미널,129.1105194,35.21457352
금정구,금사동,-,공단로8번길 16,부산화물터미널,129.1106607,35.21456568
금정구,금사동,-,공단로8번길 16,부산화물터미널,129.1106607,35.21456569
금정구,금사동,-,공단로8번길 16,부산화물터미널,129.1106701,35.21454052
금정구,금사동,-,공단로8번길 16,부산화물터미널,129.1106728,35.21453344
금정구,금사동,-,공단서로 5,부산화물터미널,129.1103432,35.21443054
동래구,명장동,-,반송로341번길 16,금정고교,129.1041075,35.20985384
북구,-,-,-,-,129.0155275,35.25912537
동래구,명장동,-,-,금정고교,129.1050803,35.21050102
동래구,명장동,-,-,금정고교,129.1050803,35.21050102
동래구,명장동,-,-,금정고교,129.1051228,35.21047243
동래구,명장동,-,반송로341번길 16,금정고교,129.1043284,35.21002857
금정구,청룡동,-,-,범어사입구,129.0927941,35.27571658
금정구,청룡동,-,-,범어사입구,129.0927848,35.27571729
금정구,청룡동,-,-,범어사입구,129.0927829,35.27571744
금정구,청룡동,-,청룡예전로 16,범어사입구,129.0926199,35.27546881
금정구,청룡동,-,청룡예전로 16,범어사입구,129.09262,35.2754688
금정구,남산동,-,벅구산로 6-11,청룡초교,129.092773,35.27088358
금정구,남산동,-,벅구산로 6-9,청룡초교,129.092594,35.27079017
금정구,남산동,-,벅구산로 6-9,청룡초교,129.0926358,35.27079014
금정구,남산동,-,중앙대로 2000-24,국도주유소,129.0920581,35.26301513
금정구,남산동,-,중앙대로 2000-24,국도주유소,129.0920608,35.2630147
금정구,남산동,-,중앙대로 2000-24,국도주유소,129.0919073,35.26297638
금정구,남산동,-,중앙대로2007번길 6-1,국도주유소,129.0918921,35.26297841
금정구,구서동,-,중앙대로 1944,선경아파트,129.091456,35.25352847
금정구,구서동,-,중앙대로 1944,선경아파트,129.0913126,35.25325253
금정구,구서동,-,중앙대로 1920,선경아파트,129.0914842,35.25498565
금정구,구서동,-,중앙대로 1920,선경아파트,129.0914728,35.2549858
금정구,구서동,-,중앙대로 1920,선경아파트,129.0913177,35.25490494
금정구,구서동,-,중앙대로 1920,선경아파트,129.0912942,35.25490496
금정구,구서동,-,중앙대로1826번길 16,금정경찰서,129.0934691,35.24701967
금정구,구서동,-,-,금정경찰서,129.093429,35.24634988
금정구,구서동,-,중앙대로 1817,금정경찰서,129.093079,35.24649795
금정구,구서동,-,중앙대로 1817,금정경찰서,129.0929585,35.24612869
금정구,구서동,-,금정로 249,금정경찰서,129.0929447,35.24614105
금정구,구서동,-,금정로 249,금정경찰서,129.092868,35.24630474
금정구,구서동,-,금정로 249,금정경찰서,129.0928648,35.24630693
금정구,부곡동,-,무학송로 96,(LG마트)롯데마트 금정점,129.0926528,35.23961166
금정구,부곡동,-,무학송로 95-1,(LG마트)롯데마트 금정점,129.0923953,35.23910009
금정구,부곡동,-,무학송로 95-1,(LG마트)롯데마트 금정점,129.0923982,35.2390998
금정구,부곡동,-,중앙대로 1731,(LG마트)롯데마트 금정점,129.0922484,35.23801808
금정구,부곡동,-,중앙대로 1731,(LG마트)롯데마트 금정점,129.0923926,35.23810494
금정구,부곡동,-,-,소정교회,129.0876806,35.22313893
금정구,부곡동,-,-,소정교회,129.0876694,35.22314291
금정구,부곡동,-,중앙대로 1537,소정교회,129.0876154,35.2229226
금정구,부곡동,-,중앙대로 1537,소정교회,129.0876068,35.2229167
금정구,부곡동,-,중앙대로1545번길 7-8,소정교회,129.0874371,35.22305574
금정구,부곡동,-,중앙대로1545번길 7-8,소정교회,129.0874312,35.22305791
금정구,부곡동,-,중앙대로 1770,금정구청(동래여고),129.0931601,35.24299623
금정구,부곡동,-,중앙대로 1770,금정구청(동래여고),129.0931487,35.24299676
금정구,부곡동,-,무학송로 129,금정구청(동래여고),129.0929672,35.24312167
금정구,두구동,-,-,공덕초교,129.1032491,35.29799374
금정구,부곡동,-,무학송로 129,금정구청(동래여고),129.092975,35.2428841
금정구,부곡동,-,무학송로 129,금정구청(동래여고),129.092999,35.24288382
해운대구,우동,-,수영강변대로 93,센텀시티36지점,129.1276585,35.16886907
해운대구,우동,-,수영강변대로 93,센텀시티36지점,129.1276585,35.16886907
해운대구,우동,-,수영강변대로 93,센텀시티36지점,129.126908,35.17002936
해운대구,재송동,-,수영강변대로 93,-,129.1247452,35.17410423
해운대구,재송동,-,수영강변대로 93,"센텀시티34,35지점",129.1239484,35.17366617
금정구,구서동,-,금샘로 261,구서쌍용예가입구,129.0849874,35.24764744
금정구,구서동,-,금샘로 261,구서쌍용예가입구,129.0850529,35.24711665
금정구,구서동,-,금샘로 261,구서쌍용예가입구,129.0850645,35.24711891
금정구,구서동,-,금샘로 261,구서쌍용예가입구,129.0852727,35.24672956
금정구,노포동,-,-,-,129.0827799,35.29833594
금정구,노포동,-,-,희락원,129.0877237,35.29345826
금정구,노포동,-,대룡3길 21,대룡마을,129.0892591,35.28975658
금정구,노포동,-,대룡3길 21,대룡마을,129.0892494,35.28975579
금정구,노포동,-,대룡3길 21,대룡마을,129.0891783,35.28952099
금정구,선동,-,체육공원로 399-1,신천교(영락공원입구),129.1079197,35.27742379
금정구,선동,-,체육공원로 399-1,신천교(영락공원입구),129.1079197,35.27742379
금정구,선동,-,체육공원로 399-1,신천교(영락공원입구),129.1079197,35.27742379
금정구,선동,-,체육공원로 399-1,신천교(영락공원입구),129.1079856,35.27740814
금정구,선동,-,체육공원로 399-1,신천교(영락공원입구),129.1079846,35.27740787
금정구,선동,-,체육공원로 399-1,신천교(영락공원입구),129.1080264,35.27741923
금정구,선동,-,체육공원로 399-1,신천교(영락공원입구),129.1080272,35.27741945
금정구,선동,-,체육공원로 399-1,신천교(영락공원입구),129.1080258,35.27741907
금정구,두구동,-,-,두구동회차로삼거리,129.105219,35.28284316
금정구,두구동,-,-,두구동회차로삼거리,129.1052116,35.2828415
금정구,두구동,-,-,두구동회차로삼거리,129.1052452,35.28284899
금정구,두구동,-,-,두구동회차로삼거리,129.1052157,35.28284241
금정구,두구동,-,-,두구동회차로삼거리,129.1052081,35.28284073
금정구,구서동,-,-,구서롯데캐슬6번출구,129.0848668,35.2492811
금정구,구서동,-,-,구서롯데캐슬6번출구,129.0848752,35.24928059
금정구,구서동,-,금강로453번길 26-12,구서롯데캐슬6번출구,129.0862052,35.24941566
금정구,구서동,-,금강로453번길 26-12,구서롯데캐슬6번출구,129.0862047,35.24942042
