연번,참고지도,위도,경도,관리번호,수량,구_군,행정(읍_면_동),도로명_주소,설치장소명,구(지번)주소
39,다음지도,35.10877111,129.034407,부산-폐-중구-0026,1,중구,동광동,동영로 20-1,자율방범초소 주변,동광동5가 12-152
40,다음지도,35.10875881,129.0336637,부산-폐-중구-0025,1,중구,동광동,동영로31번길 11,흥아거북맨션 주변(후문),영주동 450-25
41,다음지도,35.1095608,129.0333985,부산-폐-중구-0027,1,중구,영주2동,동영로31번길 10,흥아거북맨션 주변(정문),영주동 289-18
42,다음지도,35.10386773,129.0347347,부산-3-중구-0028,1,중구,중앙동,대청로135번길 12-1,40계단길 아래,중앙동3가 19-13
43,다음지도,35.10176286,129.0343699,부산-3-중구-0029,1,중구,동광동,백산길 12,백산기념관,동광동3가 28-5
44,다음지도,35.10536762,129.0288558,부산-3-중구-0030,1,중구,대청동,대청북길 14,유한빌라,대청동4가 75-167
45,다음지도,35.10248451,129.0214017,부산-3-중구-0031,1,중구,부평동,보수대로 76,보현어린이집 앞,부평동4가 55-19
46,다음지도,35.10345967,129.0264152,부산-3-중구-0032,1,중구,보수동,흑교로46번길 12,세기서림가게 옆(보수동책방골목 내),보수동1가 125-34
47,다음지도,35.1083507,129.0227803,부산-3-중구-0033,1,중구,보수동,보수대로142번길 3,농심가할인마트 위(흑교사거리 구덕터널 방향),보수동1가 14-29
48,다음지도,35.10582417,129.0262106,부산-3-중구-0034,1,중구,보수동,보동길 41,태양빌라 앞,보수동1가 59-128
49,다음지도,35.09736916,129.0259245,부산-3-중구-0035,1,중구,남포동,구덕로 90,대신저축은행 남포동지점 앞,남포동6가 63
50,다음지도,35.09735516,129.0282433,부산-3-중구-0036,1,중구,남포동,자갈치로37번길 6,NH농협은행 자갈치역지점 뒤,남포동5가 41-1
51,다음지도,35.09728398,129.0357142,부산-3-중구-0037,1,중구,남포동,태종로 8,중구관광안내소(옥상),남포동1가 33-9
52,다음지도,35.11113125,129.0360723,부산-3-중구-0038,1,중구,영주1동,대영로226번안길 2,봉래초등학교 정문,영주동 653
