번호,시군구명,동명,도로명,교차로명,경도,위도
78,해운대구,우동,,건널목삼거리,129.1625389,35.16691176
79,동래구,명륜동,,부산지방기상청 앞,129.0829502,35.20644891
80,부산진구,부전동,중앙대로 658,교보생명뒤,129.0598516,35.15222234
81,부산진구,부암동,,부암삼성아파트 화평교회,129.0368362,35.17010526
82,동래구,명륜동,,부산지방기상청 앞,129.0829586,35.20648044
83,수영구,민락동,,대우푸르지오아파트주변,129.1320415,35.15827391
84,부산진구,전포동,,센트럴스타,129.0615914,35.15219997
85,동구,범일동,범곡북로 17,범천교회,129.0549753,35.14195717
86,부산진구,범천동,,서면 동일 스위트,129.0560587,35.14774518
87,부산진구,범천동,,서면 동일 스위트,129.056029,35.14772505
88,부산진구,범천동,신천대로71번길 12-2,경남아파트 철길건널목,129.0571661,35.14779488
89,해운대구,좌동,,,129.1774541,35.18033123
90,부산진구,범천동,범천로26번길 17,부산진초교,129.0556456,35.14946628
91,부산진구,부전동,신천대로102번길 20-10,롯데호텔뒤 황금어장,129.0547306,35.15574128
92,부산진구,전포동,봉수로 13,전포동 행복한병원(1),129.0706676,35.15058443
93,부산진구,범천동,중앙번영로19번길 27,범천 대원아파트,129.0613273,35.14686713
94,부산진구,범천동,중앙번영로11번길 26,범천 대원아파트,129.0612882,35.14683253
95,부산진구,범천동,,선암초등학교,129.0499065,35.14832086
96,부산진구,범천동,신암로117번길 30-5,범천4동 근대화체인슈퍼,129.0496851,35.14961539
97,부산진구,범천동,엄광로338번길 45-15,금선사입구,129.0471335,35.15222143
98,부산진구,범천동,엄광로338번길 45-15,금선사입구,129.0471293,35.15224706
99,부산진구,범천동,엄광로386번길 49,범천4동 새마을금고,129.0479133,35.15133025
100,부산진구,가야동,,가야여중(오복상회),129.03596,35.14919024
101,부산진구,가야동,엄광로 176-5,가야3동 새마을금고,129.0347812,35.14800776
102,부산진구,가야동,,가야3동 새마을금고,129.0347503,35.14798722
103,부산진구,전포동,,구대우자동차 후문,129.0679421,35.15900245
104,부산진구,전포동,봉수로 13,동성고교,129.0694308,35.15051839
105,부산진구,초읍동,성지로143번길 11-32,동원여객,129.0500464,35.1809211
106,부산진구,초읍동,성지로143번길 11-32,동원여객,129.0500501,35.18095882
107,부산진구,부암동,,부암동 동평유치원사거리,129.0410974,35.16805957
108,부산진구,부암동,,부암동 동평유치원사거리,129.0410657,35.16803043
109,부산진구,부암동,당감로 79,당감화승삼성아파트3동 앞,129.0384264,35.16880176
110,부산진구,부암동,,당감화승삼성아파트1동 앞,129.0387609,35.16754538
111,부산진구,부암동,,당감화승삼성아파트1동 앞,129.038801,35.1675156
112,부산진구,부암동,백양순환로57번길 10,당감삼성맨션,129.0347275,35.16965033
113,부산진구,부암동,백양대로46번길 10-1,명품주유소,129.0442556,35.1626108
114,부산진구,당감동,백양대로 91,명품주유소,129.0415361,35.16183724
115,부산진구,부암동,백양순환로57번길 10,당감백산아파트,129.0335824,35.16994097
116,부산진구,당감동,,당감주유소 뒤,129.03324,35.16510277
117,영도구,동삼동,본산로 46,,129.0783308,35.0718773
118,부산진구,당감동,,당감성당,129.0364722,35.16163145
119,부산진구,당감동,,당감삼익아파트 뒤 복개로,129.0370593,35.16386015
120,부산진구,범전동,,성지초교,129.0585416,35.16533736
121,부산진구,양정동,,양정청소년수련관,129.0723415,35.17769214
122,부산진구,연지동,,일동미라주아파트,129.0523132,35.16860196
123,부산진구,양정동,중앙대로989번길 33-6,양정청소년수련관,129.0723371,35.17772758
124,부산진구,당감동,당감서로 137,당감성북교회,129.0329356,35.16727674
125,부산진구,당감동,당감서로 137,당감성북교회,129.0329619,35.16731699
126,부산진구,부암동,신천대로220번길 65,서면쌍용스윗닷홈파크(2),129.0524086,35.16121472
127,부산진구,부암동,신천대로220번길 65,서면쌍용스윗닷홈파크(2),129.0524477,35.16119901
128,부산진구,전포동,전포대로275번길 67,전포동국민건강보험맞은편,129.0637768,35.16251394
129,부산진구,전포동,전포대로275번길 67,전포동국민건강보험맞은편,129.0637643,35.1625376
130,부산진구,전포동,동성로 144,전포동보아마트앞,129.0634509,35.16210439
131,부산진구,전포동,동성로 144,전포동보아마트앞,129.0634236,35.16215364
132,부산진구,전포동,동성로 152,전포롯데캐슬102동(1),129.0636047,35.16177228
133,부산진구,전포동,동성로 152,전포롯데캐슬102동(1),129.063591,35.16179709
134,부산진구,전포동,,전포창녕슈퍼,129.0683479,35.15604264
135,부산진구,당감동,당감서로 137,당감창업보육센터,129.0314691,35.17054809
136,부산진구,당감동,당감서로 137,당감창업보육센터,129.0314693,35.17058157
137,부산진구,당감동,당감서로 137,당감개성고교,129.0319518,35.16970322
138,동래구,명장동,복천로65번길 35,황룡사 뒤,129.0936969,35.20762969
139,부산진구,당감동,당감서로65번길 37,동평초교후문,129.0346368,35.1678581
140,부산진구,전포동,전포대로162번가길 16-10,한라비발디아파트 옆,129.0662502,35.15093375
141,부산진구,전포동,전포대로162번가길 16-10,한라비발디아파트 옆,129.0662108,35.150906
142,부산진구,부암동,,부암타워메르빌,129.0504392,35.16554433
143,부산진구,초읍동,성지로114번길 45-1,초읍초등학교,129.0528586,35.1809408
144,영도구,영선동4가,,선경익스프레스,129.0428856,35.08040385
145,부산진구,양정동,양정로77번길 47-3,동호마트,129.0792023,35.17130314
146,부산진구,가야동,가야공원로 41,가야 성주원룸,129.0329645,35.15152775
147,부산진구,초읍동,초읍천로33번길 9-1,연학초등학교,129.0469404,35.17620851
148,부산진구,초읍동,초읍천로43번가길 13-1,연학초등학교,129.0469079,35.17622549
149,부산진구,전포동,봉수로 13,행복한병원(2),129.070197,35.15053999
150,부산진구,전포동,봉수로 13,행복한병원(2),129.0701777,35.15051368
151,부산진구,가야동,엄광로 152,가야공원입구삼거리,129.0301627,35.14750998
152,부산진구,가야동,가야대로552번길 136,가야 해운아파트,129.0331752,35.14781729
153,부산진구,초읍동,성지로122번길 40,초읍대우아파트,129.05184,35.18139554
154,부산진구,초읍동,월드컵대로449번길 52-1,초읍대우아파트,129.0518135,35.18141662
155,부산진구,부암동,신천대로220번길 65,굿모닝힐(1),129.0541137,35.16171055
156,부산진구,부암동,신천대로220번길 65,굿모닝힐(1),129.054122,35.1617456
157,부산진구,전포동,,동의중학교,129.0696739,35.16593382
158,부산진구,전포동,전포대로 159,유림더블루,129.0638738,35.15141759
159,부산진구,전포동,전포대로 159,유림더블루,129.0638915,35.1514515
160,부산진구,부암동,,당감 솔내음아파트,129.0332703,35.1754608
161,부산진구,부암동,,백양월드메르디앙아파트,129.0325854,35.17270091
162,부산진구,부암동,,백양월드메르디앙아파트,129.0325954,35.17268857
163,부산진구,연지동,,부산국악원(로얄아파트),129.0539407,35.17098759
164,부산진구,부전동,가야대로755번길 39-5,부산진경찰서,129.0546111,35.16003692
165,부산진구,부전동,가야대로755번길 39,부산진경찰서,129.054644,35.16006877
