번호,시군구명,동명,리명,도로명,교차로명,경도,위도
79,사상구,감전동,,낙동대로 910,부산위생,128.9703504,35.14091988
80,사상구,감전동,,낙동대로 910,부산위생,128.9702538,35.14091165
81,사상구,감전동,,낙동대로 910,부산위생,128.9703222,35.14091531
82,사상구,감전동,,낙동대로 910,부산위생,128.9702842,35.14091468
83,사상구,감전동,,낙동대로 910,부산위생,128.9702706,35.14079287
84,사상구,감전동,,낙동대로 891,부산위생,128.9704100,35.14008588
85,사상구,감전동,,낙동대로 891,부산위생,128.9704512,35.14002922
86,사상구,감전동,,낙동대로 891,부산위생,128.9704934,35.13999196
87,사상구,감전동,,낙동대로 878,부산위생,128.9705350,35.13994281
88,사상구,감전동,,낙동대로 878,부산위생,128.9704374,35.13989391
89,사상구,감전동,,낙동대로 878,부산위생,128.9704951,35.13959606
90,사상구,감전동,,낙동대로 878,부산위생,128.9703985,35.13957194
91,사상구,감전동,,낙동대로 878,부산위생,128.9704293,35.13958252
92,사상구,감전동,,낙동대로 878,부산위생,128.9704615,35.13959310
93,사상구,감전동,,낙동대로 891,부산위생,128.9706935,35.13910164
94,사상구,감전동,,낙동대로 891,부산위생,128.9706266,35.13909448
95,사상구,감전동,,낙동대로 891,부산위생,128.9706587,35.13909938
96,사상구,감전동,,낙동대로 878,부산위생,128.9705987,35.13909560
97,사상구,감전동,,낙동대로 878,,128.9707134,35.13846927
98,사상구,감전동,,낙동대로 878,,128.9707483,35.13841534
99,사상구,감전동,,낙동대로 878,,128.9707955,35.13837397
100,사상구,감전동,,낙동대로 878,,128.9708346,35.13833073
101,사상구,주례동,,,,129.0124860,35.15137665
102,사상구,주례동,,,,129.0124052,35.15134299
103,사상구,주례동,,,,129.0123030,35.15130881
104,사상구,주례동,,,,129.0125771,35.15132908
105,사상구,주례동,,가야대로344번길 11-13,동서대입구,129.0115301,35.15124118
106,사상구,주례동,,가야대로344번길 11-13,동서대입구,129.0115320,35.15121457
107,사상구,주례동,,가야대로344번길 11-13,동서대입구,129.0115307,35.15126991
108,사상구,주례동,,가야대로344번길 11-15,동서대입구,129.0115236,35.15129917
109,사상구,주례동,,가야대로344번길 5-12,동서대입구,129.0115223,35.15132950
110,사상구,주례동,,,동서대입구,129.0115178,35.15135717
111,사상구,주례동,,가야대로344번길 5-5,동서대입구,129.0110701,35.15100247
112,사상구,주례동,,가야대로344번길 3,동서대입구,129.0110495,35.15112213
113,사상구,주례동,,가야대로344번길 3,동서대입구,129.0110515,35.15109489
114,사상구,주례동,,가야대로344번길 3,동서대입구,129.0110575,35.15106349
115,사상구,주례동,,가야대로344번길 3,동서대입구,129.0110628,35.15103441
116,사상구,주례동,,가야대로 326-11,,129.0096589,35.15088444
117,사상구,주례동,,가야대로 326-11,,129.0098910,35.15102570
118,사상구,주례동,,가야대로 326-11,,129.0098408,35.15099022
119,사상구,주례동,,가야대로 326-11,,129.0097696,35.15095526
120,사상구,주례동,,가야대로 326-11,,129.0097073,35.15092238
121,사상구,주례동,,가야대로 326-11,,129.0096408,35.15120481
122,사상구,주례동,,가야대로 326-11,,129.0094634,35.15112484
123,사상구,주례동,,가야대로 326-11,,129.0093719,35.15108567
124,사상구,주례동,,가야대로 326-11,,129.0092856,35.15105222
125,사상구,모라동,,,"모라주공3,4단지입구",128.9941732,35.18479805
126,사상구,모라동,,,"모라주공3,4단지입구",128.9940962,35.18474948
127,사상구,모라동,,,"모라주공3,4단지입구",128.9941309,35.18474275
128,사상구,모라동,,,"모라주공3,4단지입구",128.9942326,35.18473393
129,사상구,모라동,,,"모라주공3,4단지입구",128.9942705,35.18472409
130,사상구,모라동,,,"모라주공3,4단지입구",128.9941988,35.18474376
131,사상구,모라동,,,"모라주공3,4단지입구",128.9941569,35.18473418
132,사상구,감전동,,새벽로 165-1,,128.9831094,35.15538219
133,사상구,감전동,,사상로147번길 16,청도슈퍼,128.9829308,35.15452020
134,사상구,감전동,,사상로147번길 16,청도슈퍼,128.9829641,35.15450607
135,사상구,감전동,,사상로147번길 16,,128.9830952,35.15545075
136,사상구,학장동,,학장로135번길 24-14,,128.9825951,35.14202003
137,사상구,학장동,,학장로135번길 18,,128.9825073,35.14193973
138,사상구,학장동,,학장로135번길 24-14,,128.9825468,35.14197688
139,사상구,학장동,,학장로135번길 14,,128.9817672,35.14181566
140,사상구,학장동,,학장로135번길 14,,128.9817720,35.14178637
141,사상구,학장동,,학장로 143,,128.9817768,35.14176003
142,사상구,학장동,,,,128.9764929,35.13834749
143,사상구,학장동,,,,128.9762619,35.13807899
144,사상구,학장동,,,,128.9760296,35.13780986
145,사상구,학장동,,,,128.9757452,35.13748288
146,사상구,학장동,,,,128.9755582,35.13726795
147,사상구,학장동,,,LG전자,128.9772102,35.13916814
148,사상구,학장동,,,,128.9770785,35.13902424
149,사상구,학장동,,,,128.9768542,35.13876697
150,사상구,학장동,,,,128.9766846,35.13856969
151,사상구,학장동,,새벽로 2,,128.9809055,35.14167392
